x,y,actionList,predictionsList
4,19,0,"[0.01, 0.01, 0.01]"
5,0,0,"[0.01, 0.01, 0.01]"
5,1,1,"[-1.4851495, -0.9901, -0.9901]"
5,2,0,"[-10.351003589449421, -10.44272387069955, -10.661647227992464]"
5,3,0,"[-12.494670163118283, -12.653298709201733, -13.013990638817528]"
5,4,0,"[-15.34648145663201, -15.361451723090083, -15.859387206560898]"
5,5,0,"[-17.870245325963488, -18.26898556194309, -18.651340964178495]"
5,6,0,"[-20.209576256757742, -20.48958237172798, -20.66270285029877]"
5,7,0,"[-22.339988982873596, -22.379676695301946, -22.346320344908797]"
5,8,1,"[-23.72942186126775, -23.57417455601993, -23.81143272504335]"
5,9,0,"[-25.891834313398103, -26.432218247424853, -26.391631885251606]"
5,10,0,"[-28.9581196490853, -29.994286850014113, -29.865533209808593]"
5,11,2,"[-27.492138465034895, -27.2424370779788, -26.861375219073317]"
5,12,1,"[-25.238291720942865, -24.990922655756524, -25.00311208567243]"
5,13,1,"[-23.134456734854158, -23.088496181470973, -23.152092951443656]"
5,14,1,"[-21.308751963741265, -21.308265248440996, -21.488882431691792]"
5,15,2,"[-19.038251078646685, -18.80233864276457, -18.74071431136844]"
5,16,2,"[-15.81379010889218, -16.105053111697938, -15.794877999129703]"
5,17,2,"[-14.324233703324373, -14.302647347517869, -13.602242236941029]"
5,18,2,"[-6.396945433724849, -8.427153297059007, -5.710461320754412]"
5,19,0,"[0.01, 0.01, 0.01]"
6,0,0,"[0.01, 0.01, 0.01]"
6,1,0,"[0.01, 0.01, 0.01]"
6,2,2,"[-7.1484077556650085, -7.156173735730949, -7.061475733718777]"
6,3,0,"[-10.572316292288638, -10.656693446522938, -10.961318637114058]"
6,4,0,"[-12.440391938464332, -12.596107192567386, -12.848489631805863]"
6,5,1,"[-15.506831775856082, -15.26850603014524, -15.347457268840051]"
6,6,1,"[-18.755739447969475, -18.53340324242779, -18.736382997680252]"
6,7,1,"[-20.125266298531187, -19.960470669896452, -20.11785492651287]"
6,8,0,"[-21.364975468479678, -21.534498897627806, -21.67057058111568]"
6,9,2,"[-22.763213297085954, -22.89217401506847, -22.4785511710733]"
6,10,1,"[-23.22369569727308, -23.20157833752394, -23.297816908803913]"
6,11,0,"[-23.593435438057003, -23.65853749619652, -23.84706672176934]"
6,12,0,"[-23.10942762821268, -23.173917462053733, -23.262960650033623]"
6,13,2,"[-22.063453963666557, -22.091989310817315, -21.52430578611109]"
6,14,2,"[-20.47750342668845, -20.34740902560898, -20.288104769714025]"
6,15,2,"[-18.307163275113265, -18.46759059827026, -18.282730965695126]"
6,16,2,"[-15.313883875197883, -15.275523231278168, -15.169447935182692]"
6,17,2,"[-14.301030534579382, -14.210363830149781, -13.888859159377203]"
6,18,2,"[-12.022422308318435, -9.304072353582056, -7.819615079973364]"
6,19,0,"[0.01, 0.01, 0.01]"
7,0,0,"[0.01, 0.01, 0.01]"
7,1,0,"[0.01, 0.01, 0.01]"
7,2,0,"[0.01, 0.01, 0.01]"
7,3,0,"[-8.28037262116613, -8.428530356060287, -8.511877720012013]"
7,4,2,"[-11.074855643835257, -11.103395563649372, -10.863621982825789]"
7,5,0,"[-12.102648740847746, -12.823157939668636, -12.517371818]"
7,6,0,"[-14.546029775304941, -15.237350330658145, -14.680242688366715]"
7,7,1,"[-17.090997579249333, -16.71708858827047, -17.193661821163502]"
7,8,2,"[-18.26816615395837, -18.563733958796973, -18.125274472366822]"
7,9,1,"[-19.436055869614403, -19.244901739620083, -19.37825293236814]"
7,10,1,"[-19.900286529693545, -19.756951869313394, -19.787873462352437]"
7,11,2,"[-20.01003938660277, -20.06229794354058, -20.003902479732716]"
7,12,1,"[-20.03357082380693, -19.723297990792915, -19.99476840478561]"
7,13,0,"[-19.018659699196494, -19.034394578454105, -19.04979704150733]"
7,14,2,"[-17.480308693371114, -17.677214526775924, -17.130494765299915]"
7,15,2,"[-15.198349716706483, -14.741095177284222, -14.694125628962901]"
7,16,1,"[-14.336592579901303, -14.120062498542982, -14.205830504061776]"
7,17,1,"[-12.98391708687977, -12.3893389694346, -12.46960283436308]"
7,18,1,"[-11.047783038017922, 0.01, 0.01]"
7,19,0,"[0.01, 0.01, 0.01]"
8,0,0,"[0.01, 0.01, 0.01]"
8,1,0,"[0.01, 0.01, 0.01]"
8,2,0,"[0.01, 0.01, 0.01]"
8,3,0,"[0.01, 0.01, 0.01]"
8,4,0,"[-8.403876824819669, -8.687538693231811, -8.414820637882846]"
8,5,0,"[-10.930457554712275, -11.259130604772052, -11.940610962282928]"
8,6,1,"[-12.72655042020807, -12.58571850558373, -12.692600115620241]"
8,7,0,"[-13.97749195852142, -14.049015329333107, -14.046433492394812]"
8,8,0,"[-15.313322986918164, -15.401000686275308, -15.469563724268536]"
