x,y,actionList,predictionsList
0,0,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,1,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,2,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,3,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,4,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,5,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,6,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,7,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,8,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,9,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,10,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,11,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,12,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,13,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,14,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,15,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,16,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,17,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,18,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,19,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,0,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,1,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,2,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,3,2,"[-6.522427183203846, -6.8641954675855, -6.30106875936132]"
1,4,1,"[-12.223858702932654, -12.128147000803986, -12.299944491884524]"
1,5,1,"[-13.729395179538209, -12.739779201564772, -13.750940832238129]"
1,6,1,"[-14.177693580302826, -14.132770307282234, -14.262403989918699]"
1,7,0,"[-14.15183488366149, -14.193732253664063, -14.203485385536176]"
1,8,1,"[-14.319543636435816, -14.11686205606751, -14.259144195721824]"
1,9,2,"[-14.278253281933788, -14.283434064961785, -14.168879874340206]"
1,10,2,"[-14.93803810905849, -14.75120066123865, -14.727215495415024]"
1,11,2,"[-14.321482535573686, -14.286797978268154, -14.284909270221231]"
1,12,1,"[-13.743828572171372, -13.634219770190256, -13.69724493090892]"
1,13,1,"[-13.25186862271862, -13.212232383226922, -13.242614029090158]"
1,14,0,"[-12.356808266126347, -12.410717849150394, -12.528454609044601]"
1,15,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,16,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,17,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,18,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,19,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
2,0,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
2,1,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
2,2,0,"[-4.707450546427894, -5.288357525740226, -5.048621778282495]"
2,3,1,"[-10.837985015867222, -10.524235550830765, -10.7928107464944]"
2,4,0,"[-13.026356413425262, -13.045797941132872, -13.10881844022612]"
2,5,0,"[-13.259857898869297, -13.362455045878544, -13.454955206707542]"
2,6,2,"[-13.514424949583425, -13.415419993988666, -13.350523012563613]"
2,7,1,"[-13.873086186967175, -13.837080201913752, -13.930921709258294]"
2,8,1,"[-14.31695917225945, -14.180922712017493, -14.223755760536912]"
2,9,1,"[-13.9402624455371, -13.932924670672756, -14.057074355215356]"
2,10,1,"[-13.70546645793879, -13.637555317988072, -13.749348893208406]"
2,11,1,"[-13.522379104853115, -13.350439422224548, -13.359542857141193]"
2,12,0,"[-12.992375919433428, -13.042271792253416, -13.097632036672206]"
2,13,1,"[-12.898211274921698, -12.769262964354356, -12.93660257444434]"
2,14,2,"[-12.918363590229948, -12.92567921210021, -12.83304141260425]"
2,15,2,"[-12.368200722973846, -12.165909378119698, -12.096291895993355]"
2,16,0,"[-8.859354742887385, -9.03631298119832, -9.437764884230072]"
2,17,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
2,18,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
2,19,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
3,0,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
3,1,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
3,2,0,"[-8.20024110930336, -9.101580937107133, -8.366900224542468]"
3,3,0,"[-11.912221666086273, -11.947372602624053, -12.02347125635373]"
3,4,0,"[-12.64943048516644, -12.950928732702108, -12.831778878222035]"
3,5,1,"[-13.513081057331062, -13.447414568818738, -13.463718366676659]"
3,6,2,"[-14.423852960292539, -14.223255240496377, -14.183881037558155]"
3,7,2,"[-14.67014072371043, -14.87327449163093, -14.551227588234076]"
3,8,0,"[-14.744004105760284, -14.911289785128401, -15.11274022106777]"
3,9,0,"[-15.435462658871899, -15.473542614284828, -15.523373211324733]"
3,10,0,"[-15.829245733886724, -15.87992620082414, -16.316596951283763]"
3,11,1,"[-15.663085897983109, -15.443074298505822, -15.495737720828568]"
3,12,1,"[-14.602503307459312, -14.273012683635624, -14.296268902722383]"
3,13,1,"[-13.798695621417403, -13.625131260007535, -13.864493347490011]"
3,14,2,"[-13.17891564906919, -13.026642953276427, -12.911860616434353]"
3,15,0,"[-12.378337401397264, -12.47402284520831, -12.47453768720209]"
3,16,2,"[-12.278759075912319, -12.323880374784332, -11.43852319042977]"
3,17,2,"[-9.533450547261634, -9.500243856343413, -9.34109731121667]"
3,18,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
3,19,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
4,0,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
4,1,0,"[-1.0425826674999998, -3.8261417077030213, -3.9006868622566464]"
4,2,1,"[-8.084963710179055, -8.031799629506613, -8.699212769246294]"
4,3,0,"[-11.418787022278519, -11.517794412378421, -11.54189851144634]"
4,4,0,"[-12.087637847485077, -12.10253676301374, -12.296481612127906]"
