x,y,actionList,predictionsList
0,0,0,"[0.01, 0.01, 0.01]"
0,1,0,"[0.01, 0.01, 0.01]"
0,2,0,"[0.01, 0.01, 0.01]"
0,3,0,"[0.01, 0.01, 0.01]"
0,4,0,"[0.01, 0.01, 0.01]"
0,5,0,"[0.01, 0.01, 0.01]"
0,6,0,"[0.01, 0.01, 0.01]"
0,7,0,"[0.01, 0.01, 0.01]"
0,8,0,"[0.01, 0.01, 0.01]"
0,9,0,"[0.01, 0.01, 0.01]"
0,10,0,"[0.01, 0.01, 0.01]"
0,11,0,"[0.01, 0.01, 0.01]"
0,12,0,"[0.01, 0.01, 0.01]"
0,13,0,"[0.01, 0.01, 0.01]"
0,14,0,"[0.01, 0.01, 0.01]"
0,15,0,"[0.01, 0.01, 0.01]"
0,16,0,"[0.01, 0.01, 0.01]"
0,17,0,"[0.01, 0.01, 0.01]"
0,18,0,"[0.01, 0.01, 0.01]"
0,19,0,"[0.01, 0.01, 0.01]"
1,0,0,"[0.01, 0.01, 0.01]"
1,1,0,"[0.01, 0.01, 0.01]"
1,2,0,"[0.01, 0.01, 0.01]"
1,3,0,"[-8.864230493271117, -9.02336492263504, -9.019953554404523]"
1,4,0,"[-13.077393680813454, -13.087371293117208, -13.145189018827205]"
1,5,1,"[-13.955305598293004, -13.912552451585075, -14.023494815867465]"
1,6,2,"[-14.54873692709932, -14.63448721688886, -14.535337068883893]"
1,7,2,"[-15.083626013826098, -15.044060301048503, -15.015374284220197]"
1,8,0,"[-15.463018259316488, -15.476501330249643, -15.466259452932459]"
1,9,0,"[-15.351800690838587, -15.410839074682185, -15.629454379271765]"
1,10,1,"[-15.824337331555132, -15.474497757280794, -15.561269817596687]"
1,11,0,"[-13.542842025621383, -15.250386893687637, -15.007589037332629]"
1,12,1,"[-14.374334576992826, -14.284752111636806, -14.379098062023731]"
1,13,1,"[-13.782204697389147, -13.457913652142494, -13.722973546423015]"
1,14,2,"[-12.56276278033145, -12.519640152519818, -12.36878843573381]"
1,15,0,"[0.01, 0.01, 0.01]"
1,16,0,"[0.01, 0.01, 0.01]"
1,17,0,"[0.01, 0.01, 0.01]"
1,18,0,"[0.01, 0.01, 0.01]"
1,19,0,"[0.01, 0.01, 0.01]"
2,0,0,"[0.01, 0.01, 0.01]"
2,1,0,"[0.01, 0.01, 0.01]"
2,2,0,"[-6.14755710941142, -8.00225991982037, -6.75554991388106]"
2,3,0,"[-10.722405571817912, -10.756266263352396, -11.134244869457618]"
2,4,1,"[-13.200828482272236, -13.150973446928294, -13.431799663166752]"
2,5,0,"[-13.884572964659604, -14.04290101006897, -13.996800239512424]"
2,6,2,"[-14.335598516859651, -14.441574571361887, -14.223248393716947]"
2,7,2,"[-14.657305654653175, -14.665299117308948, -14.606552306090165]"
2,8,1,"[-14.955472438261207, -14.831591041837608, -14.941278356441634]"
2,9,1,"[-14.507023090272355, -14.423106584871565, -14.571590346053593]"
2,10,0,"[-14.899325246211749, -14.937708576992385, -15.00417474128955]"
2,11,1,"[-14.517857485634625, -14.432867845162036, -14.514976432663158]"
2,12,1,"[-14.378814362414559, -14.362701277879497, -14.461730404341257]"
2,13,0,"[-13.55853880637441, -13.77712594215975, -13.561690534775913]"
2,14,1,"[-13.455822652641537, -13.180964867909415, -13.197919569433864]"
2,15,2,"[-12.863258846378582, -12.72491143080239, -12.601770189402153]"
2,16,1,"[-9.128577144428833, -8.78226152807428, -8.926322801609938]"
2,17,0,"[0.01, 0.01, 0.01]"
2,18,0,"[0.01, 0.01, 0.01]"
2,19,0,"[0.01, 0.01, 0.01]"
3,0,0,"[0.01, 0.01, 0.01]"
3,1,0,"[-4.400336158069761, -4.828887061482737, -5.689368927643457]"
3,2,2,"[-8.310183413082335, -8.695994910354312, -7.979553320795217]"
3,3,2,"[-11.457972868943903, -11.484757522587927, -11.26529424956758]"
3,4,0,"[-13.29006852197747, -13.364186982590132, -13.425280359852046]"
3,5,1,"[-13.726194031300754, -13.600704651641724, -13.937141061383706]"
3,6,0,"[-15.034197260083385, -15.249837073670614, -15.455260654182648]"
3,7,0,"[-16.138980984465277, -16.4116635572903, -16.38024578251039]"
3,8,0,"[-16.84716179503855, -17.14530242579771, -17.12863708875346]"
3,9,1,"[-17.529758308814607, -17.47205878980602, -17.479202112521655]"
