x,y,actionList,predictionsList
0,0,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,1,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,2,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,3,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,4,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,5,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,6,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,7,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,8,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,9,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,10,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,11,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,12,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,13,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,14,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,15,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,16,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,17,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,18,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
0,19,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,0,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,1,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,2,1,"[-0.9901000000000001, 0.010000000000000002, -14.33220382554884]"
1,3,0,"[-9.83642372645442, -10.459356223874588, -11.48978529211991]"
1,4,2,"[-18.907972187410568, -18.814993143063788, -18.60785302323929]"
1,5,1,"[-20.039921977800716, -19.940947509506138, -19.99077858389358]"
1,6,2,"[-19.312116475585007, -19.18056170939163, -19.178688800486984]"
1,7,2,"[-19.673622491236834, -19.725999783810497, -19.667316289166386]"
1,8,1,"[-20.566409998048485, -20.353988537801484, -20.552107566654005]"
1,9,2,"[-21.104036258747488, -21.173095180130268, -21.061641412132815]"
1,10,1,"[-21.71757971156701, -21.544123205672715, -21.636312124515676]"
1,11,2,"[-20.763616056759933, -20.684590384938446, -20.538368412093646]"
1,12,2,"[-19.653756994396595, -19.763327829985283, -19.50903192730964]"
1,13,2,"[-18.579911553655823, -18.55809978374864, -18.434102409278246]"
1,14,0,"[-17.24263103588741, -17.31937138603136, -17.312197460357485]"
1,15,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,16,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,17,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,18,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
1,19,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
2,0,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
2,1,1,"[-4.2313080131357035, 0.010000000000000002, 0.010000000000000002]"
2,2,0,"[-6.268323690666985, -9.284367586753167, -7.012912313036873]"
2,3,0,"[-14.845207267301554, -15.417913396455594, -15.024342788098926]"
2,4,2,"[-17.829931060755765, -17.70397059408381, -17.547316297371566]"
2,5,1,"[-18.424443259431918, -18.371477297252365, -18.46042118861358]"
2,6,0,"[-18.7777579912689, -18.87203717175187, -18.925296894017272]"
2,7,1,"[-19.485520239753928, -19.401373915619875, -19.433003603226755]"
2,8,0,"[-19.63434058336202, -19.71696106670295, -19.66550843579022]"
2,9,2,"[-19.818750967222105, -19.926012590535056, -19.800842906442224]"
2,10,2,"[-19.583069764165376, -19.52442771730804, -19.51006393549765]"
2,11,2,"[-19.49718414628008, -19.397953506466745, -19.381964005357926]"
2,12,2,"[-18.989886965773874, -18.745150328436175, -18.72853183413821]"
2,13,2,"[-18.335706921845045, -18.368244741440492, -18.272751283555614]"
2,14,2,"[-17.754382794338774, -17.563237138034836, -17.35987178109486]"
2,15,2,"[-16.620208534974374, -16.838066073947864, -16.191260239250163]"
2,16,2,"[-13.260944371110341, -13.290562610820984, -13.066079393578992]"
2,17,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
2,18,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
2,19,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
3,0,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
3,1,1,"[-0.9901000000000001, 0.010000000000000002, -10.052720511038357]"
3,2,2,"[-12.097203850079678, -12.38272397109113, -12.065435243701282]"
3,3,1,"[-15.489071091591255, -15.31591292014354, -15.36111425862317]"
3,4,1,"[-17.102895868403394, -17.075831165828287, -17.368030322619383]"
3,5,0,"[-18.75196633161075, -18.934917868957857, -18.782803191365982]"
3,6,0,"[-20.151884337636186, -20.340546165244103, -20.388636461158267]"
3,7,0,"[-20.83552228481231, -20.95734416350544, -20.991696702341223]"
3,8,2,"[-21.302026595877237, -21.322706073283364, -21.177927258142354]"
3,9,1,"[-21.684730276274674, -21.56388778742598, -21.609861839528275]"
3,10,1,"[-22.212827430932336, -21.694818182383063, -21.853248199165364]"
3,11,2,"[-21.19246166734458, -21.236019457580216, -21.110957934355362]"
3,12,2,"[-20.563739782209563, -20.81921231822598, -20.329583592823038]"
3,13,2,"[-19.709438462315497, -19.71122531893533, -19.606033823699697]"
3,14,2,"[-18.622299029010897, -18.423562008477127, -18.323532038516042]"
3,15,1,"[-17.232137690458963, -17.093076200532106, -17.29885458981292]"
3,16,2,"[-16.402015390758578, -16.002066806864303, -15.904829761173726]"
3,17,0,"[-13.993301493946598, -14.027424970079057, -14.073765577502224]"
3,18,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
3,19,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
4,0,0,"[0.010000000000000002, 0.010000000000000002, 0.010000000000000002]"
4,1,0,"[-1.385119134, -6.627814057884531, -4.316681381646858]"
4,2,0,"[-11.848660444763453, -11.899322429526453, -11.880701429425702]"
4,3,2,"[-14.627476352739379, -14.78273497892816, -14.570578427823634]"
4,4,1,"[-17.26400895976033, -17.169202133517686, -17.33395890731428]"
