x,y,actionList,predictionsList
7,18,2,"[-9.35240228817983, -6.547398124173052, -1.3351494999999998]"
7,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
8,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
8,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
8,2,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
8,3,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
8,4,2,"[-7.423158817895061, -8.259197805506803, -7.4074421646465645]"
8,5,2,"[-11.146691103782038, -11.299273654120915, -10.977934152068405]"
8,6,1,"[-12.296472349585773, -12.176139494713349, -12.3813522970251]"
8,7,0,"[-13.33981990503155, -13.447500371335606, -13.349269161330815]"
8,8,1,"[-14.763626406707012, -14.406357279780067, -14.558544018781786]"
8,9,0,"[-14.789588940016163, -14.824244524223687, -14.790079759825637]"
8,10,2,"[-15.466017888925252, -15.700623295320952, -15.443396114855062]"
8,11,1,"[-15.613146909106913, -15.596417880241006, -15.70940280730545]"
8,12,1,"[-15.212090489642723, -15.108273408315693, -15.208254014682948]"
8,13,2,"[-14.547957445973381, -14.597252282357681, -14.28774285065278]"
8,14,2,"[-13.59814184481894, -13.743738198182289, -13.339026299799759]"
8,15,2,"[-12.360242720765637, -12.433921265089356, -12.200593452943364]"
8,16,0,"[-10.123502737776004, -10.375460517356082, -10.478201154591058]"
8,17,0,"[-6.875884817751613, -8.39903883948125, -7.893427914334412]"
8,18,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
8,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
9,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
9,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
9,2,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
9,3,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
9,4,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
9,5,1,"[-8.763306653803692, 0.009999999999999998, 0.009999999999999998]"
9,6,1,"[-10.04557228038355, -9.792129999113392, -9.913123241545698]"
9,7,0,"[-11.916186160757544, -11.960494207793118, -12.014552672762417]"
9,8,2,"[-13.450400688617705, -13.564987580591936, -13.347628203222335]"
9,9,1,"[-14.109806780697241, -14.037264817518489, -14.266182697201074]"
9,10,2,"[-14.381494367285514, -14.3879734213065, -14.290397621716778]"
9,11,1,"[-14.873052874027518, -14.730797056545187, -14.812359547854836]"
9,12,1,"[-14.21312394575385, -14.18595402402641, -14.569385467270132]"
9,13,2,"[-12.167902647796954, -12.370495031714979, -11.958325159359891]"
9,14,1,"[-11.090911618220261, -10.602986993492047, -10.652564341011109]"
9,15,2,"[-7.850901415842041, -7.527317980602097, -6.5116729453382565]"
9,16,0,"[-4.728513943048939, -5.224472363522727, -6.802602124845231]"
9,17,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
9,18,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
9,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
10,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
10,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
10,2,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
10,3,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
10,4,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
10,5,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
10,6,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
10,7,1,"[-4.831162261832839, -4.659735760289604, -7.180768218735403]"
10,8,2,"[-9.179051646223837, -8.954571032200121, -8.838752087232741]"
10,9,0,"[-10.429925298692874, -10.976933583496516, -10.449526701072013]"
10,10,2,"[-11.89904646429125, -11.65044143405698, -11.587323714670253]"
10,11,2,"[-11.75410727259398, -11.629238153883174, -10.808212568674637]"
10,12,1,"[-8.603691946153031, -8.572720721299103, -8.744776928441308]"
10,13,2,"[-7.548733904017636, -7.2769042368117125, -7.215673615502695]"
10,14,2,"[-3.85196621627517, -3.820832206663523, -3.5301754861437757]"
10,15,2,"[-2.9165862447414725, -2.907448134907767, -2.3132352586781373]"
10,16,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
10,17,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
10,18,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
10,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,2,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,3,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,4,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,5,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,6,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,7,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,8,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,9,2,"[-4.728307450093678, -4.876885663149483, -4.051601554934255]"
11,10,2,"[-4.558207156870539, -4.9660454245812815, -4.243321192536692]"
11,11,2,"[-3.4390936328796213, -3.2702195084634385, -3.216604044671657]"
11,12,2,"[-2.686762221797452, -2.788108087821091, -2.3554403269425057]"
11,13,1,"[-1.8626758207373206, -1.2809870600301025, -1.4961959000480656]"
11,14,1,"[-1.4431991718894486, -0.9198648394642857, -1.3047359540968748]"
11,15,0,"[0.009999999999999998, -0.7, 0.009999999999999998]"
11,16,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,17,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,18,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
11,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
