currentweight,result,stays,validationproblem,inteval
"[1, 0]",6,4,29,19
"[0.5, 0.5]",23,4,29,19
"[0, 1]",36,3,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",39,5,29,19
"[0, 1]",65,6,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",19,3,29,19
"[0, 1]",42,5,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",19,3,29,19
"[0, 1]",61,6,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",21,4,29,19
"[0, 1]",13,2,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",10,2,29,19
"[0, 1]",27,4,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",12,3,29,19
"[0, 1]",112,13,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",39,5,29,19
"[0, 1]",89,8,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",81,9,29,19
"[0, 1]",69,9,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",56,7,29,19
"[0, 1]",10,0,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",25,3,29,19
"[0, 1]",33,0,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",100,15,29,19
"[0, 1]",72,13,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",14,3,29,19
"[0, 1]",22,5,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",54,5,29,19
"[0, 1]",46,10,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",59,7,29,19
"[0, 1]",18,2,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",16,2,29,19
"[0, 1]",13,5,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",69,8,29,19
"[0, 1]",21,1,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",86,17,29,19
"[0, 1]",15,3,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",23,5,29,19
"[0, 1]",49,6,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",20,2,29,19
"[0, 1]",40,3,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",17,1,29,19
"[0, 1]",51,7,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",13,4,29,19
"[0, 1]",15,4,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",9,1,29,19
"[0, 1]",86,9,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",75,10,29,19
"[0, 1]",187,22,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",21,2,29,19
"[0, 1]",71,11,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",72,8,29,19
"[0, 1]",30,5,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",26,1,29,19
"[0, 1]",18,5,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",42,5,29,19
"[0, 1]",30,7,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",66,3,29,19
"[0, 1]",26,3,29,19
"[1, 0]",6,4,29,19
"[0.5, 0.5]",12,1,29,19
"[0, 1]",16,2,29,19
"[1, 0]",2223,557,29,39
"[0.5, 0.5]",11,3,29,39
"[0, 1]",25,5,29,39
"[1, 0]",2223,557,29,39
"[0.5, 0.5]",59,11,29,39
"[0, 1]",48,5,29,39
"[1, 0]",2223,557,29,39
"[0.5, 0.5]",35,3,29,39
"[0, 1]",24,3,29,39
