currentweight,result,stays,validationproblem,inteval
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",36,4,29,19
"[0, 1]",103,16,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",155,14,29,19
"[0, 1]",121,11,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",288,36,29,19
"[0, 1]",56,7,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",84,9,29,19
"[0, 1]",256,30,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",26,4,29,19
"[0, 1]",172,22,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",92,7,29,19
"[0, 1]",192,25,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",437,46,29,19
"[0, 1]",31,2,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",248,24,29,19
"[0, 1]",65,8,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",17,1,29,19
"[0, 1]",44,5,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",48,6,29,19
"[0, 1]",113,10,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",97,8,29,19
"[0, 1]",110,10,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",147,19,29,19
"[0, 1]",107,14,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",152,19,29,19
"[0, 1]",185,22,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",71,9,29,19
"[0, 1]",62,10,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",37,2,29,19
"[0, 1]",230,24,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",170,22,29,19
"[0, 1]",211,28,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",525,76,29,19
"[0, 1]",57,4,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",121,10,29,19
"[0, 1]",59,3,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",476,62,29,19
"[0, 1]",176,22,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",163,25,29,19
"[0, 1]",317,44,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",248,22,29,19
"[0, 1]",334,43,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",57,4,29,19
"[0, 1]",35,6,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",86,5,29,19
"[0, 1]",377,43,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",73,11,29,19
"[0, 1]",70,10,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",76,8,29,19
"[0, 1]",400,48,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",149,18,29,19
"[0, 1]",139,12,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",102,8,29,19
"[0, 1]",111,11,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",45,5,29,19
"[0, 1]",283,28,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",126,17,29,19
"[0, 1]",107,15,29,19
"[1, 0]",2223,1112,29,19
"[0.5, 0.5]",161,13,29,19
"[0, 1]",51,6,29,19
"[1, 0]",8,3,29,39
"[0.5, 0.5]",269,31,29,39
"[0, 1]",59,9,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",295,36,29,39
"[0, 1]",441,48,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",75,12,29,39
"[0, 1]",72,11,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",158,20,29,39
"[0, 1]",77,15,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",166,20,29,39
"[0, 1]",403,55,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",15,4,29,39
"[0, 1]",227,29,29,39
"[1, 0]",8,3,29,39
