currentweight,result,stays,validationproblem,inteval
"[1, 0]",7,3,29,19
"[0.5, 0.5]",176,14,29,19
"[0, 1]",81,9,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",23,2,29,19
"[0, 1]",202,19,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",22,4,29,19
"[0, 1]",195,23,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",118,13,29,19
"[0, 1]",16,1,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",460,58,29,19
"[0, 1]",44,5,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",25,4,29,19
"[0, 1]",409,57,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",237,25,29,19
"[0, 1]",42,8,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",258,30,29,19
"[0, 1]",67,10,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",149,14,29,19
"[0, 1]",56,7,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",19,1,29,19
"[0, 1]",144,22,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",92,8,29,19
"[0, 1]",133,19,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",48,5,29,19
"[0, 1]",18,2,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",262,31,29,19
"[0, 1]",205,21,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",90,15,29,19
"[0, 1]",242,22,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",128,16,29,19
"[0, 1]",126,16,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",19,2,29,19
"[0, 1]",25,4,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",14,3,29,19
"[0, 1]",324,33,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",175,23,29,19
"[0, 1]",162,24,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",136,18,29,19
"[0, 1]",85,9,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",181,26,29,19
"[0, 1]",212,23,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",107,17,29,19
"[0, 1]",83,11,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",453,44,29,19
"[0, 1]",103,16,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",46,8,29,19
"[0, 1]",127,20,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",703,72,29,19
"[0, 1]",33,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",167,17,29,19
"[0, 1]",62,7,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",17,2,29,19
"[0, 1]",423,46,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",35,4,29,19
"[0, 1]",161,11,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",22,6,29,19
"[0, 1]",34,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",77,13,29,19
"[0, 1]",86,10,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",597,54,29,19
"[0, 1]",231,25,29,19
"[1, 0]",6,1,29,39
"[0.5, 0.5]",61,8,29,39
"[0, 1]",19,1,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",19,2,29,39
"[0, 1]",36,5,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",19,2,29,39
"[0, 1]",15,1,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",26,3,29,39
"[0, 1]",30,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",10,1,29,39
"[0, 1]",73,10,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",15,2,29,39
"[0, 1]",84,10,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",16,4,29,39
"[0, 1]",36,5,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",29,3,29,39
"[0, 1]",38,1,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",43,7,29,39
"[0, 1]",29,7,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",84,12,29,39
"[0, 1]",122,11,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",29,3,29,39
"[0, 1]",30,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",54,5,29,39
"[0, 1]",14,1,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",65,4,29,39
"[0, 1]",46,12,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",68,6,29,39
"[0, 1]",85,11,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",97,10,29,39
"[0, 1]",20,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",74,9,29,39
"[0, 1]",28,6,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",57,6,29,39
"[0, 1]",49,6,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",42,7,29,39
"[0, 1]",11,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",25,6,29,39
"[0, 1]",81,11,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",25,3,29,39
"[0, 1]",34,4,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",12,3,29,39
"[0, 1]",17,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",44,6,29,39
"[0, 1]",27,4,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",87,10,29,39
"[0, 1]",11,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",52,6,29,39
"[0, 1]",37,6,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",24,1,29,39
"[0, 1]",40,1,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",23,4,29,39
"[0, 1]",16,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",33,4,29,39
"[0, 1]",28,7,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",36,2,29,39
"[0, 1]",25,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",44,6,29,39
"[0, 1]",49,6,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",19,1,29,39
"[0, 1]",68,5,29,39
"[1, 0]",6,1,29,59
"[0.5, 0.5]",11,4,29,59
"[0, 1]",55,9,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",59,8,29,59
"[0, 1]",18,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",69,7,29,59
"[0, 1]",95,11,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",17,4,29,59
"[0, 1]",27,4,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",32,4,29,59
"[0, 1]",31,5,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",40,7,29,59
"[0, 1]",24,2,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",30,6,29,59
"[0, 1]",111,14,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",68,14,29,59
"[0, 1]",24,4,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",47,4,29,59
"[0, 1]",22,7,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",39,4,29,59
"[0, 1]",45,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",183,18,29,59
"[0, 1]",14,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",28,5,29,59
"[0, 1]",25,2,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",16,2,29,59
"[0, 1]",13,2,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",20,3,29,59
"[0, 1]",24,0,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",42,5,29,59
"[0, 1]",31,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",34,5,29,59
"[0, 1]",10,0,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",66,6,29,59
"[0, 1]",13,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",56,10,29,59
"[0, 1]",25,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",18,4,29,59
"[0, 1]",40,6,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",11,3,29,59
"[0, 1]",99,9,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",31,2,29,59
"[0, 1]",21,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",24,3,29,59
"[0, 1]",29,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",19,4,29,59
"[0, 1]",26,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",32,3,29,59
"[0, 1]",34,5,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",39,8,29,59
"[0, 1]",79,5,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",40,2,29,59
"[0, 1]",57,9,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",10,0,29,59
"[0, 1]",65,7,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",33,0,29,59
"[0, 1]",60,7,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",18,2,29,59
"[0, 1]",59,7,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",18,4,29,59
"[0, 1]",126,9,29,59
"[1, 0]",6,1,29,79
"[0.5, 0.5]",25,5,29,79
"[0, 1]",52,7,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",43,5,29,79
"[0, 1]",13,1,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",30,5,29,79
"[0, 1]",26,6,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",37,5,29,79
"[0, 1]",18,1,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",11,3,29,79
"[0, 1]",11,3,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",15,1,29,79
"[0, 1]",83,9,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",70,12,29,79
"[0, 1]",90,9,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",68,5,29,79
"[0, 1]",207,20,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",14,2,29,79
"[0, 1]",22,2,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",61,5,29,79
"[0, 1]",20,3,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",11,2,29,79
"[0, 1]",13,3,29,79
