currentweight,result,stays,validationproblem,inteval
"[1, 0]",6,0,29,19
"[0.5, 0.5]",79,12,29,19
"[0, 1]",15,4,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",53,6,29,19
"[0, 1]",68,3,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",43,3,29,19
"[0, 1]",31,2,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",42,5,29,19
"[0, 1]",64,6,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",36,4,29,19
"[0, 1]",45,4,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",59,3,29,19
"[0, 1]",25,3,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",20,3,29,19
"[0, 1]",32,3,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",9,0,29,19
"[0, 1]",28,2,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",78,15,29,19
"[0, 1]",66,9,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",19,2,29,19
"[0, 1]",60,14,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",27,4,29,19
"[0, 1]",20,3,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",39,9,29,19
"[0, 1]",21,3,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",9,1,29,19
"[0, 1]",15,2,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",19,2,29,19
"[0, 1]",42,4,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",21,4,29,19
"[0, 1]",99,12,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",12,1,29,19
"[0, 1]",26,4,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",50,6,29,19
"[0, 1]",72,9,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",24,5,29,19
"[0, 1]",23,4,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",10,1,29,19
"[0, 1]",51,5,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",48,4,29,19
"[0, 1]",195,23,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",35,3,29,19
"[0, 1]",17,4,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",101,10,29,19
"[0, 1]",143,11,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",11,0,29,19
"[0, 1]",22,2,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",12,0,29,19
"[0, 1]",37,4,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",14,2,29,19
"[0, 1]",48,5,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",41,4,29,19
"[0, 1]",40,3,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",92,10,29,19
"[0, 1]",62,5,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",29,4,29,19
"[0, 1]",17,4,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",23,3,29,19
"[0, 1]",36,5,29,19
"[1, 0]",6,0,29,19
"[0.5, 0.5]",41,3,29,19
"[0, 1]",29,4,29,19
"[1, 0]",6,0,29,39
"[0.5, 0.5]",34,6,29,39
"[0, 1]",34,3,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",25,3,29,39
"[0, 1]",67,4,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",21,0,29,39
"[0, 1]",68,6,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",61,6,29,39
"[0, 1]",15,4,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",39,7,29,39
"[0, 1]",20,1,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",30,3,29,39
"[0, 1]",11,2,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",23,2,29,39
"[0, 1]",32,3,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",88,12,29,39
"[0, 1]",14,2,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",48,7,29,39
"[0, 1]",52,7,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",45,2,29,39
"[0, 1]",15,2,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",173,19,29,39
"[0, 1]",30,4,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",9,3,29,39
"[0, 1]",29,5,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",40,5,29,39
"[0, 1]",25,4,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",94,11,29,39
"[0, 1]",30,5,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",56,7,29,39
"[0, 1]",25,3,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",30,3,29,39
"[0, 1]",82,6,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",18,4,29,39
"[0, 1]",10,3,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",35,4,29,39
"[0, 1]",111,12,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",60,4,29,39
"[0, 1]",38,3,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",25,5,29,39
"[0, 1]",102,8,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",13,2,29,39
"[0, 1]",61,8,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",87,13,29,39
"[0, 1]",10,1,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",82,11,29,39
"[0, 1]",35,3,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",24,7,29,39
"[0, 1]",70,5,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",23,6,29,39
"[0, 1]",158,21,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",9,2,29,39
"[0, 1]",18,5,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",47,6,29,39
"[0, 1]",44,5,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",90,10,29,39
"[0, 1]",11,3,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",36,3,29,39
"[0, 1]",95,9,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",9,3,29,39
"[0, 1]",340,38,29,39
"[1, 0]",6,0,29,59
"[0.5, 0.5]",17,3,29,59
"[0, 1]",80,8,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",13,1,29,59
"[0, 1]",59,5,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",36,5,29,59
"[0, 1]",34,7,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",22,3,29,59
"[0, 1]",99,13,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",39,5,29,59
"[0, 1]",18,3,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",215,28,29,59
"[0, 1]",12,3,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",163,16,29,59
"[0, 1]",25,4,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",70,7,29,59
"[0, 1]",111,11,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",16,5,29,59
"[0, 1]",57,7,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",52,9,29,59
"[0, 1]",77,6,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",14,3,29,59
"[0, 1]",90,8,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",42,9,29,59
"[0, 1]",46,3,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",89,7,29,59
"[0, 1]",18,3,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",66,6,29,59
"[0, 1]",16,2,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",172,18,29,59
"[0, 1]",28,7,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",49,7,29,59
"[0, 1]",66,11,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",38,6,29,59
"[0, 1]",223,20,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",12,1,29,59
"[0, 1]",17,3,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",48,6,29,59
"[0, 1]",9,1,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",16,2,29,59
"[0, 1]",64,5,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",117,17,29,59
"[0, 1]",37,8,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",12,2,29,59
"[0, 1]",34,4,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",44,6,29,59
"[0, 1]",18,2,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",152,18,29,59
"[0, 1]",47,3,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",38,4,29,59
"[0, 1]",51,5,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",23,3,29,59
"[0, 1]",32,6,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",9,1,29,59
