currentweight,result,stays,validationproblem,inteval
"[1, 0]",6,2,29,19
"[0.5, 0.5]",11,2,29,19
"[0, 1]",12,4,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",24,1,29,19
"[0, 1]",18,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",100,14,29,19
"[0, 1]",77,10,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",133,14,29,19
"[0, 1]",51,6,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",80,12,29,19
"[0, 1]",20,2,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",86,12,29,19
"[0, 1]",81,13,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",56,12,29,19
"[0, 1]",9,2,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",16,2,29,19
"[0, 1]",39,6,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",61,10,29,19
"[0, 1]",64,5,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",30,6,29,19
"[0, 1]",28,4,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",55,6,29,19
"[0, 1]",17,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",123,18,29,19
"[0, 1]",9,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",103,8,29,19
"[0, 1]",9,1,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",57,10,29,19
"[0, 1]",39,2,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",117,16,29,19
"[0, 1]",55,8,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",110,13,29,19
"[0, 1]",95,11,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",133,12,29,19
"[0, 1]",30,7,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",12,2,29,19
"[0, 1]",68,10,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",17,1,29,19
"[0, 1]",14,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",78,6,29,19
"[0, 1]",28,4,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",97,14,29,19
"[0, 1]",31,6,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",42,6,29,19
"[0, 1]",22,0,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",71,4,29,19
"[0, 1]",49,5,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",9,2,29,19
"[0, 1]",67,7,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",19,2,29,19
"[0, 1]",36,5,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",40,7,29,19
"[0, 1]",118,18,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",31,4,29,19
"[0, 1]",59,5,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",18,2,29,19
"[0, 1]",53,6,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",45,9,29,19
"[0, 1]",34,1,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",21,3,29,19
"[0, 1]",79,12,29,19
"[1, 0]",6,2,29,39
"[0.5, 0.5]",89,14,29,39
"[0, 1]",28,1,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",254,22,29,39
"[0, 1]",34,6,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",119,11,29,39
"[0, 1]",15,4,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",10,1,29,39
"[0, 1]",138,13,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",18,4,29,39
"[0, 1]",21,4,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",32,2,29,39
"[0, 1]",178,19,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",31,6,29,39
"[0, 1]",20,6,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",34,4,29,39
"[0, 1]",91,11,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",25,4,29,39
"[0, 1]",24,3,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",12,1,29,39
"[0, 1]",29,6,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",13,4,29,39
"[0, 1]",76,10,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",61,2,29,39
"[0, 1]",27,3,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",106,17,29,39
"[0, 1]",20,3,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",22,2,29,39
"[0, 1]",12,3,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",30,6,29,39
"[0, 1]",40,5,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",20,4,29,39
"[0, 1]",16,2,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",12,3,29,39
"[0, 1]",32,2,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",41,3,29,39
"[0, 1]",68,9,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",39,3,29,39
"[0, 1]",58,2,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",100,11,29,39
"[0, 1]",50,4,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",37,6,29,39
"[0, 1]",32,4,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",54,5,29,39
"[0, 1]",68,15,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",9,1,29,39
"[0, 1]",50,9,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",39,4,29,39
"[0, 1]",50,6,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",83,7,29,39
"[0, 1]",22,5,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",37,4,29,39
"[0, 1]",61,4,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",31,4,29,39
"[0, 1]",19,2,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",22,4,29,39
"[0, 1]",28,1,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",56,5,29,39
"[0, 1]",68,11,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",32,2,29,39
"[0, 1]",13,2,29,39
"[1, 0]",7,2,29,59
"[0.5, 0.5]",44,6,29,59
"[0, 1]",27,4,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",67,10,29,59
"[0, 1]",40,6,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",12,1,29,59
"[0, 1]",26,1,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",23,3,29,59
"[0, 1]",25,5,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",16,3,29,59
"[0, 1]",18,0,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",72,8,29,59
"[0, 1]",22,4,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",28,4,29,59
"[0, 1]",17,3,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",80,9,29,59
"[0, 1]",64,11,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",16,4,29,59
"[0, 1]",35,6,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",31,4,29,59
"[0, 1]",24,4,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",9,0,29,59
"[0, 1]",13,3,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",119,14,29,59
"[0, 1]",46,5,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",78,6,29,59
"[0, 1]",56,7,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",32,1,29,59
"[0, 1]",44,4,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",57,12,29,59
"[0, 1]",20,3,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",24,4,29,59
"[0, 1]",39,6,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",21,3,29,59
"[0, 1]",35,6,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",42,2,29,59
"[0, 1]",67,10,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",58,5,29,59
"[0, 1]",21,3,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",17,2,29,59
"[0, 1]",11,2,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",41,6,29,59
"[0, 1]",42,5,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",28,5,29,59
"[0, 1]",47,4,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",21,4,29,59
"[0, 1]",67,9,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",57,8,29,59
"[0, 1]",66,7,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",17,4,29,59
"[0, 1]",24,6,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",66,8,29,59
"[0, 1]",63,9,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",32,6,29,59
"[0, 1]",17,3,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",90,9,29,59
"[0, 1]",61,9,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",142,17,29,59
"[0, 1]",28,4,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",24,3,29,59
"[0, 1]",68,10,29,59
"[1, 0]",6,2,29,79
"[0.5, 0.5]",27,2,29,79
"[0, 1]",53,5,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",31,1,29,79
"[0, 1]",98,11,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",18,5,29,79
"[0, 1]",74,9,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",72,11,29,79
"[0, 1]",75,10,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",46,3,29,79
"[0, 1]",32,8,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",12,3,29,79
