currentweight,result,stays,validationproblem,inteval
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",313,39,29,19
"[0, 1]",2223,6,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",2223,8,29,19
"[0, 1]",103,7,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",36,2,29,19
"[0, 1]",2223,5,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",58,10,29,19
"[0, 1]",22,2,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",32,2,29,19
"[0, 1]",2223,7,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",131,16,29,19
"[0, 1]",121,15,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",310,29,29,19
"[0, 1]",113,12,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",115,15,29,19
"[0, 1]",36,2,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",312,29,29,19
"[0, 1]",139,14,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",273,40,29,19
"[0, 1]",2223,5,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",14,1,29,19
"[0, 1]",2223,29,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",106,13,29,19
"[0, 1]",64,8,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",229,33,29,19
"[0, 1]",2223,5,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",98,10,29,19
"[0, 1]",145,20,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",629,73,29,19
"[0, 1]",521,58,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",2223,3,29,19
"[0, 1]",124,9,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",84,10,29,19
"[0, 1]",425,48,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",128,20,29,19
"[0, 1]",154,24,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",59,3,29,19
"[0, 1]",254,34,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",278,31,29,19
"[0, 1]",2223,18,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",47,2,29,19
"[0, 1]",209,25,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",119,8,29,19
"[0, 1]",215,27,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",425,42,29,19
"[0, 1]",14,3,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",118,9,29,19
"[0, 1]",2223,0,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",17,2,29,19
"[0, 1]",2223,9,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",177,14,29,19
"[0, 1]",93,10,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",2223,14,29,19
"[0, 1]",2223,9,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",294,37,29,19
"[0, 1]",75,8,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",153,12,29,19
"[0, 1]",217,18,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",2223,47,29,19
"[0, 1]",2223,6,29,19
"[1, 0]",6,1,29,39
"[0.5, 0.5]",2223,4,29,39
"[0, 1]",16,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",19,2,29,39
"[0, 1]",31,5,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",23,2,29,39
"[0, 1]",66,7,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",28,4,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",41,4,29,39
"[0, 1]",24,5,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",28,5,29,39
"[0, 1]",23,4,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",69,10,29,39
"[0, 1]",25,5,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",78,13,29,39
"[0, 1]",13,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",2223,8,29,39
"[0, 1]",184,26,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",2223,9,29,39
"[0, 1]",47,5,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",19,6,29,39
"[0, 1]",25,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",37,1,29,39
"[0, 1]",99,15,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",138,20,29,39
"[0, 1]",19,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",58,8,29,39
"[0, 1]",77,14,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",43,4,29,39
"[0, 1]",49,4,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",22,1,29,39
"[0, 1]",18,1,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",66,9,29,39
"[0, 1]",27,1,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",118,13,29,39
"[0, 1]",14,4,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",30,5,29,39
"[0, 1]",61,7,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",17,7,29,39
"[0, 1]",51,5,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",2223,11,29,39
"[0, 1]",90,10,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",40,5,29,39
"[0, 1]",28,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",48,7,29,39
"[0, 1]",67,9,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",10,2,29,39
"[0, 1]",15,1,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",23,5,29,39
"[0, 1]",2223,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",15,2,29,39
"[0, 1]",68,10,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",20,3,29,39
"[0, 1]",25,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",46,5,29,39
"[0, 1]",103,9,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",63,3,29,39
"[0, 1]",16,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",2223,3,29,39
"[0, 1]",10,2,29,39
"[1, 0]",6,1,29,59
