currentweight,result,stays,validationproblem,inteval
"[1, 0]",7,2,29,19
"[0.5, 0.5]",16,1,29,19
"[0, 1]",37,6,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",15,1,29,19
"[0, 1]",25,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",41,7,29,19
"[0, 1]",56,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",37,4,29,19
"[0, 1]",83,9,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",54,5,29,19
"[0, 1]",158,14,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",26,5,29,19
"[0, 1]",68,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",37,2,29,19
"[0, 1]",14,2,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",26,3,29,19
"[0, 1]",42,2,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",35,2,29,19
"[0, 1]",29,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",29,4,29,19
"[0, 1]",22,2,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",92,13,29,19
"[0, 1]",34,7,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",65,4,29,19
"[0, 1]",16,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",44,9,29,19
"[0, 1]",32,8,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",48,9,29,19
"[0, 1]",17,4,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",46,5,29,19
"[0, 1]",75,9,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",42,6,29,19
"[0, 1]",61,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",10,0,29,19
"[0, 1]",79,10,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",16,2,29,19
"[0, 1]",16,1,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",29,1,29,19
"[0, 1]",51,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",24,3,29,19
"[0, 1]",125,13,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",18,1,29,19
"[0, 1]",29,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",36,3,29,19
"[0, 1]",63,8,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",13,1,29,19
"[0, 1]",26,2,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",74,14,29,19
"[0, 1]",45,6,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",68,9,29,19
"[0, 1]",31,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",9,0,29,19
"[0, 1]",126,17,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",114,11,29,19
"[0, 1]",32,2,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",123,16,29,19
"[0, 1]",18,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",11,3,29,19
"[0, 1]",17,1,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",29,4,29,19
"[0, 1]",57,7,29,19
"[1, 0]",7,2,29,39
"[0.5, 0.5]",95,13,29,39
"[0, 1]",15,3,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",23,3,29,39
"[0, 1]",19,3,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",39,8,29,39
"[0, 1]",17,2,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",110,11,29,39
"[0, 1]",73,9,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",23,2,29,39
"[0, 1]",132,10,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",23,3,29,39
"[0, 1]",47,8,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",48,6,29,39
"[0, 1]",43,4,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",16,1,29,39
"[0, 1]",19,4,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",45,5,29,39
"[0, 1]",12,2,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",29,2,29,39
"[0, 1]",81,7,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",19,1,29,39
"[0, 1]",35,6,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",27,4,29,39
"[0, 1]",107,17,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",46,5,29,39
"[0, 1]",25,4,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",10,2,29,39
"[0, 1]",15,1,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",36,4,29,39
"[0, 1]",40,7,29,39
