currentweight,result,stays,validationproblem,inteval
"[1, 0]",7,0,29,19
"[0.5, 0.5]",83,12,29,19
"[0, 1]",175,13,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",158,20,29,19
"[0, 1]",48,3,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",111,16,29,19
"[0, 1]",98,8,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",104,16,29,19
"[0, 1]",32,5,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",90,13,29,19
"[0, 1]",131,17,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",381,47,29,19
"[0, 1]",92,15,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",729,93,29,19
"[0, 1]",98,16,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",118,10,29,19
"[0, 1]",123,12,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",359,45,29,19
"[0, 1]",101,13,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",300,34,29,19
"[0, 1]",129,15,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",98,11,29,19
"[0, 1]",207,25,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",176,16,29,19
"[0, 1]",38,6,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",25,3,29,19
"[0, 1]",32,4,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",125,10,29,19
"[0, 1]",116,9,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",130,17,29,19
"[0, 1]",44,9,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",29,3,29,19
"[0, 1]",138,18,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",64,10,29,19
"[0, 1]",49,5,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",93,6,29,19
"[0, 1]",227,31,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",59,9,29,19
"[0, 1]",109,10,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",79,14,29,19
"[0, 1]",169,22,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",92,3,29,19
"[0, 1]",68,6,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",303,36,29,19
"[0, 1]",22,4,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",120,14,29,19
"[0, 1]",160,16,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",135,10,29,19
"[0, 1]",132,15,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",38,3,29,19
"[0, 1]",150,23,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",45,4,29,19
"[0, 1]",52,3,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",10,1,29,19
"[0, 1]",85,8,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",83,7,29,19
"[0, 1]",88,14,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",17,2,29,19
"[0, 1]",79,9,29,19
"[1, 0]",7,0,29,19
"[0.5, 0.5]",82,9,29,19
"[0, 1]",85,9,29,19
"[1, 0]",7,1,29,39
"[0.5, 0.5]",50,6,29,39
"[0, 1]",148,13,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",31,5,29,39
"[0, 1]",187,18,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",94,9,29,39
"[0, 1]",25,3,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",98,11,29,39
"[0, 1]",116,10,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",48,5,29,39
"[0, 1]",26,4,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",42,6,29,39
"[0, 1]",160,17,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",216,27,29,39
"[0, 1]",40,6,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",41,5,29,39
"[0, 1]",23,4,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",93,8,29,39
"[0, 1]",119,14,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",43,3,29,39
"[0, 1]",185,17,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",299,34,29,39
"[0, 1]",29,2,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",57,10,29,39
"[0, 1]",47,8,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",39,6,29,39
"[0, 1]",21,1,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",52,6,29,39
"[0, 1]",111,18,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",167,20,29,39
"[0, 1]",126,12,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",30,2,29,39
"[0, 1]",45,4,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",35,10,29,39
"[0, 1]",184,19,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",21,2,29,39
"[0, 1]",181,15,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",261,24,29,39
"[0, 1]",202,32,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",55,7,29,39
"[0, 1]",12,3,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",46,7,29,39
"[0, 1]",277,32,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",27,2,29,39
"[0, 1]",362,35,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",51,5,29,39
"[0, 1]",200,25,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",460,50,29,39
"[0, 1]",67,2,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",60,7,29,39
"[0, 1]",38,6,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",316,33,29,39
"[0, 1]",247,21,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",39,5,29,39
"[0, 1]",273,27,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",392,43,29,39
"[0, 1]",45,6,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",136,13,29,39
"[0, 1]",52,8,29,39
"[1, 0]",7,1,29,39
"[0.5, 0.5]",239,24,29,39
"[0, 1]",161,20,29,39
"[1, 0]",7,0,29,59
"[0.5, 0.5]",184,21,29,59
"[0, 1]",38,11,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",86,6,29,59
"[0, 1]",212,18,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",89,10,29,59
"[0, 1]",54,4,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",86,10,29,59
"[0, 1]",95,7,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",69,9,29,59
"[0, 1]",63,7,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",330,43,29,59
"[0, 1]",44,8,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",116,11,29,59
"[0, 1]",152,15,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",17,5,29,59
"[0, 1]",329,27,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",81,10,29,59
"[0, 1]",185,24,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",35,7,29,59
"[0, 1]",83,11,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",129,12,29,59
"[0, 1]",440,53,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",58,4,29,59
"[0, 1]",69,8,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",128,16,29,59
"[0, 1]",261,35,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",63,8,29,59
"[0, 1]",427,46,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",92,15,29,59
"[0, 1]",21,3,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",34,2,29,59
"[0, 1]",41,4,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",100,4,29,59
"[0, 1]",60,6,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",73,11,29,59
"[0, 1]",166,20,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",96,8,29,59
"[0, 1]",10,1,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",34,3,29,59
"[0, 1]",77,11,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",14,3,29,59
"[0, 1]",172,22,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",59,7,29,59
"[0, 1]",22,4,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",290,41,29,59
"[0, 1]",55,5,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",41,6,29,59
"[0, 1]",63,4,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",86,12,29,59
"[0, 1]",19,3,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",19,2,29,59
"[0, 1]",154,15,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",15,3,29,59
"[0, 1]",31,3,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",173,20,29,59
"[0, 1]",45,7,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",69,7,29,59
"[0, 1]",123,16,29,59
"[1, 0]",7,0,29,59
"[0.5, 0.5]",94,11,29,59
"[0, 1]",45,10,29,59
"[1, 0]",7,0,29,79
"[0.5, 0.5]",77,6,29,79
"[0, 1]",398,51,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",152,20,29,79
"[0, 1]",151,20,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",20,5,29,79
"[0, 1]",39,5,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",119,12,29,79
"[0, 1]",164,17,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",102,14,29,79
"[0, 1]",135,18,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",167,18,29,79
"[0, 1]",524,51,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",126,12,29,79
"[0, 1]",318,38,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",69,12,29,79
"[0, 1]",102,14,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",434,59,29,79
"[0, 1]",118,16,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",17,5,29,79
"[0, 1]",334,32,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",157,21,29,79
"[0, 1]",86,6,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",184,23,29,79
"[0, 1]",30,2,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",212,20,29,79
"[0, 1]",140,18,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",207,26,29,79
"[0, 1]",19,2,29,79
"[1, 0]",7,0,29,79
"[0.5, 0.5]",61,7,29,79
