currentweight,result,stays,validationproblem,inteval
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",21,1,29,19
"[0, 1]",81,10,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",48,6,29,19
"[0, 1]",26,4,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",37,4,29,19
"[0, 1]",9,2,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",9,2,29,19
"[0, 1]",23,5,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",54,7,29,19
"[0, 1]",47,9,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",25,4,29,19
"[0, 1]",23,2,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",29,2,29,19
"[0, 1]",74,17,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",37,6,29,19
"[0, 1]",25,5,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",48,6,29,19
"[0, 1]",65,4,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",24,0,29,19
"[0, 1]",16,5,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",21,3,29,19
"[0, 1]",15,0,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",15,4,29,19
"[0, 1]",62,10,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",111,22,29,19
"[0, 1]",50,9,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",23,0,29,19
"[0, 1]",67,10,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",21,2,29,19
"[0, 1]",24,3,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",15,0,29,19
"[0, 1]",40,8,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",9,1,29,19
"[0, 1]",25,2,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",76,11,29,19
"[0, 1]",45,8,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",25,3,29,19
"[0, 1]",112,10,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",29,6,29,19
"[0, 1]",52,8,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",88,17,29,19
"[0, 1]",50,7,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",19,1,29,19
"[0, 1]",49,4,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",18,0,29,19
"[0, 1]",156,22,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",22,4,29,19
"[0, 1]",83,10,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",27,4,29,19
"[0, 1]",44,6,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",60,11,29,19
"[0, 1]",16,2,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",61,6,29,19
"[0, 1]",9,0,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",32,4,29,19
"[0, 1]",31,3,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",18,6,29,19
"[0, 1]",163,17,29,19
"[1, 0]",2223,557,29,19
"[0.5, 0.5]",73,11,29,19
"[0, 1]",54,11,29,19
"[1, 0]",6,3,29,39
"[0.5, 0.5]",26,5,29,39
"[0, 1]",16,2,29,39
"[1, 0]",6,3,29,39
"[0.5, 0.5]",33,3,29,39
