currentweight,result,stays,validationproblem,inteval
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",47,4,29,19
"[0, 1]",13,3,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",14,2,29,19
"[0, 1]",43,9,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",15,2,29,19
"[0, 1]",77,13,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",23,2,29,19
"[0, 1]",41,6,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",15,3,29,19
"[0, 1]",56,7,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",13,1,29,19
"[0, 1]",51,6,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",13,1,29,19
"[0, 1]",38,4,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",26,3,29,19
"[0, 1]",14,1,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",58,6,29,19
"[0, 1]",104,12,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",31,3,29,19
"[0, 1]",57,8,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",24,3,29,19
"[0, 1]",122,10,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",42,8,29,19
"[0, 1]",51,9,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",12,2,29,19
"[0, 1]",117,8,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",109,13,29,19
"[0, 1]",43,8,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",111,10,29,19
"[0, 1]",27,2,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",73,9,29,19
"[0, 1]",54,6,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",14,0,29,19
"[0, 1]",48,5,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",51,5,29,19
"[0, 1]",52,6,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",104,10,29,19
"[0, 1]",7,3,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",19,1,29,19
"[0, 1]",36,7,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",54,8,29,19
"[0, 1]",32,2,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",41,5,29,19
"[0, 1]",49,3,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",32,4,29,19
"[0, 1]",48,3,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",13,3,29,19
"[0, 1]",17,3,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",32,8,29,19
"[0, 1]",30,6,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",36,5,29,19
"[0, 1]",26,4,29,19
"[1, 0]",2223,371,29,19
"[0.5, 0.5]",17,1,29,19
