currentweight,result,stays,validationproblem,inteval
"[1, 0]",16,6,29,19
"[0.5, 0.5]",122,13,29,19
"[0, 1]",51,2,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",290,39,29,19
"[0, 1]",209,26,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",181,17,29,19
"[0, 1]",24,5,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",76,9,29,19
"[0, 1]",76,11,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",55,8,29,19
"[0, 1]",52,5,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",16,2,29,19
"[0, 1]",44,5,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",54,10,29,19
"[0, 1]",78,9,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",106,22,29,19
"[0, 1]",113,19,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",264,34,29,19
"[0, 1]",55,12,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",427,54,29,19
"[0, 1]",233,29,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",307,47,29,19
"[0, 1]",132,26,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",276,25,29,19
"[0, 1]",83,22,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",24,6,29,19
"[0, 1]",18,6,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",40,3,29,19
"[0, 1]",60,10,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",80,16,29,19
"[0, 1]",49,7,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",281,39,29,19
"[0, 1]",55,11,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",30,4,29,19
"[0, 1]",31,5,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",31,4,29,19
"[0, 1]",59,9,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",281,41,29,19
"[0, 1]",21,4,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",45,3,29,19
"[0, 1]",119,17,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",47,7,29,19
"[0, 1]",153,26,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",76,11,29,19
"[0, 1]",470,68,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",158,16,29,19
"[0, 1]",155,29,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",61,11,29,19
"[0, 1]",56,11,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",15,2,29,19
"[0, 1]",257,38,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",208,28,29,19
"[0, 1]",113,11,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",42,7,29,19
"[0, 1]",131,16,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",265,36,29,19
"[0, 1]",150,24,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",67,8,29,19
"[0, 1]",31,9,29,19
"[1, 0]",16,6,29,19
"[0.5, 0.5]",39,4,29,19
"[0, 1]",335,41,29,19
"[1, 0]",7,3,29,39
"[0.5, 0.5]",355,53,29,39
"[0, 1]",73,7,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",295,36,29,39
"[0, 1]",45,5,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",109,9,29,39
"[0, 1]",210,21,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",22,6,29,39
"[0, 1]",135,20,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",131,21,29,39
"[0, 1]",30,5,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",210,29,29,39
"[0, 1]",27,2,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",22,2,29,39
"[0, 1]",22,5,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",56,10,29,39
"[0, 1]",25,3,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",23,2,29,39
"[0, 1]",65,7,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",36,2,29,39
"[0, 1]",128,21,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",68,13,29,39
"[0, 1]",145,19,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",120,22,29,39
"[0, 1]",141,22,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",55,11,29,39
"[0, 1]",28,7,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",40,6,29,39
"[0, 1]",64,11,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",119,16,29,39
"[0, 1]",25,5,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",140,13,29,39
"[0, 1]",23,4,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",80,16,29,39
"[0, 1]",131,18,29,39
