currentweight,result,stays,validationproblem,inteval
"[1, 0]",7,1,29,19
"[0.5, 0.5]",349,37,29,19
"[0, 1]",108,15,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",285,40,29,19
"[0, 1]",227,29,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",215,31,29,19
"[0, 1]",157,17,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",133,18,29,19
"[0, 1]",135,18,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",35,3,29,19
"[0, 1]",34,3,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",133,13,29,19
"[0, 1]",515,61,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",484,59,29,19
"[0, 1]",363,34,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",115,11,29,19
"[0, 1]",349,39,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",197,14,29,19
"[0, 1]",13,0,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",147,17,29,19
"[0, 1]",44,2,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",234,18,29,19
"[0, 1]",114,11,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",376,34,29,19
"[0, 1]",134,6,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",73,13,29,19
"[0, 1]",100,10,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",145,23,29,19
"[0, 1]",28,6,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",214,30,29,19
"[0, 1]",65,7,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",274,39,29,19
"[0, 1]",63,4,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",51,7,29,19
"[0, 1]",218,25,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",92,6,29,19
"[0, 1]",136,20,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",14,2,29,19
"[0, 1]",108,13,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",206,27,29,19
"[0, 1]",57,7,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",36,6,29,19
"[0, 1]",524,53,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",176,23,29,19
"[0, 1]",221,34,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",57,6,29,19
"[0, 1]",46,6,29,19
"[1, 0]",7,1,29,19
"[0.5, 0.5]",274,33,29,19
"[0, 1]",84,8,29,19
"[1, 0]",7,1,29,19
