currentweight,result,stays,validationproblem,inteval
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",243,34,29,19
"[0, 1]",40,7,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",157,20,29,19
"[0, 1]",86,12,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",213,27,29,19
"[0, 1]",45,4,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",123,13,29,19
"[0, 1]",18,2,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",54,4,29,19
"[0, 1]",18,1,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",220,29,29,19
"[0, 1]",280,43,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",151,21,29,19
"[0, 1]",120,12,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",97,15,29,19
"[0, 1]",131,26,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",76,11,29,19
"[0, 1]",92,17,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",22,4,29,19
"[0, 1]",200,37,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",153,12,29,19
"[0, 1]",20,5,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",81,13,29,19
"[0, 1]",168,20,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",27,6,29,19
"[0, 1]",49,5,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",64,5,29,19
"[0, 1]",133,13,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",87,17,29,19
"[0, 1]",60,6,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",152,29,29,19
"[0, 1]",119,11,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",45,4,29,19
"[0, 1]",100,15,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",164,25,29,19
"[0, 1]",240,41,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",119,17,29,19
"[0, 1]",54,9,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",79,18,29,19
"[0, 1]",18,5,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",70,7,29,19
"[0, 1]",85,7,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",168,18,29,19
"[0, 1]",90,11,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",53,6,29,19
"[0, 1]",271,37,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",54,7,29,19
"[0, 1]",123,19,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",297,36,29,19
"[0, 1]",72,14,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",53,8,29,19
"[0, 1]",55,6,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",202,22,29,19
"[0, 1]",43,8,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",143,16,29,19
"[0, 1]",206,30,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",45,6,29,19
"[0, 1]",128,12,29,19
"[1, 0]",2223,0,29,19
"[0.5, 0.5]",70,16,29,19
"[0, 1]",45,7,29,19
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,1,29,39
"[0, 1]",2223,2,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,5,29,39
"[0, 1]",2223,0,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",2223,3,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,0,29,39
"[0, 1]",2223,1,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,4,29,39
"[0, 1]",2223,1,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",2223,1,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,3,29,39
"[0, 1]",2223,5,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",2223,2,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,4,29,39
"[0, 1]",2223,5,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",2223,0,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",2223,5,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",2223,6,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,3,29,39
"[0, 1]",2223,2,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,5,29,39
"[0, 1]",2223,5,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,0,29,39
"[0, 1]",2223,0,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2275,7,29,39
"[0, 1]",2223,3,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,6,29,39
"[0, 1]",2223,2,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",2223,2,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,1,29,39
"[0, 1]",2223,2,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",2223,3,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",27,4,29,39
"[0, 1]",2223,3,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",2223,2,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",2223,5,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,0,29,39
"[0, 1]",14,2,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",44,4,29,39
"[0, 1]",2223,7,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",2223,1,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,4,29,39
"[0, 1]",2223,1,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,10,29,39
"[0, 1]",2223,1,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,1,29,39
"[0, 1]",2223,0,29,39
"[1, 0]",6,0,29,39
"[0.5, 0.5]",2223,4,29,39
"[0, 1]",2223,1,29,39
"[1, 0]",6,0,29,59
"[0.5, 0.5]",2223,9,29,59
"[0, 1]",255,33,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",29,6,29,59
"[0, 1]",134,17,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",71,8,29,59
"[0, 1]",632,71,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",67,9,29,59
"[0, 1]",2223,96,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",32,4,29,59
"[0, 1]",2223,12,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",211,22,29,59
"[0, 1]",304,25,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",270,31,29,59
"[0, 1]",35,1,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",296,39,29,59
"[0, 1]",186,17,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",71,9,29,59
"[0, 1]",2223,2,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",257,31,29,59
"[0, 1]",506,56,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",2223,14,29,59
"[0, 1]",14,1,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",56,6,29,59
"[0, 1]",2223,9,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",2223,63,29,59
"[0, 1]",316,42,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",2223,7,29,59
"[0, 1]",2223,10,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",33,2,29,59
"[0, 1]",127,11,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",141,18,29,59
"[0, 1]",116,10,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",100,15,29,59
"[0, 1]",178,23,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",2223,7,29,59
"[0, 1]",523,61,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",126,19,29,59
"[0, 1]",2223,1,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",354,46,29,59
"[0, 1]",615,64,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",272,41,29,59
"[0, 1]",2223,9,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",2223,25,29,59
"[0, 1]",20,5,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",2223,59,29,59
"[0, 1]",2223,1,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",87,11,29,59
"[0, 1]",75,7,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",2223,31,29,59
"[0, 1]",227,19,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",22,4,29,59
"[0, 1]",361,40,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",2223,4,29,59
"[0, 1]",140,12,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",356,32,29,59
"[0, 1]",2223,7,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",133,9,29,59
"[0, 1]",2223,6,29,59
"[1, 0]",6,0,29,59
"[0.5, 0.5]",196,17,29,59
"[0, 1]",20,3,29,59
"[1, 0]",6,0,29,79
"[0.5, 0.5]",247,25,29,79
"[0, 1]",317,42,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",251,27,29,79
"[0, 1]",149,14,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",303,31,29,79
"[0, 1]",13,6,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",2223,16,29,79
"[0, 1]",2223,2,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",2223,7,29,79
"[0, 1]",262,34,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",408,45,29,79
"[0, 1]",387,53,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",60,11,29,79
"[0, 1]",85,13,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",2223,7,29,79
"[0, 1]",66,6,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",23,4,29,79
"[0, 1]",78,11,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",2223,31,29,79
"[0, 1]",141,20,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",36,5,29,79
"[0, 1]",289,39,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",170,21,29,79
"[0, 1]",2223,7,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",50,9,29,79
"[0, 1]",98,9,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",2223,14,29,79
"[0, 1]",128,20,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",2223,9,29,79
"[0, 1]",2223,12,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",28,4,29,79
"[0, 1]",254,35,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",247,23,29,79
"[0, 1]",85,11,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",87,11,29,79
"[0, 1]",131,15,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",2223,48,29,79
"[0, 1]",2223,6,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",113,8,29,79
"[0, 1]",76,7,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",17,2,29,79
"[0, 1]",212,27,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",2223,7,29,79
"[0, 1]",104,18,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",2223,8,29,79
"[0, 1]",2223,5,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",72,8,29,79
"[0, 1]",222,26,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",2223,5,29,79
"[0, 1]",2223,6,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",299,37,29,79
"[0, 1]",61,6,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",24,3,29,79
"[0, 1]",156,17,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",2223,17,29,79
"[0, 1]",78,12,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",35,3,29,79
"[0, 1]",2223,4,29,79
"[1, 0]",6,0,29,79
"[0.5, 0.5]",109,12,29,79
"[0, 1]",136,10,29,79
"[1, 0]",6,0,29,99
"[0.5, 0.5]",109,6,29,99
"[0, 1]",178,29,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",2223,3,29,99
"[0, 1]",229,31,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",2223,2,29,99
"[0, 1]",16,5,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",443,53,29,99
"[0, 1]",42,5,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",88,14,29,99
"[0, 1]",138,13,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",2223,9,29,99
"[0, 1]",72,6,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",31,4,29,99
"[0, 1]",276,29,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",2223,4,29,99
"[0, 1]",48,8,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",329,32,29,99
"[0, 1]",101,10,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",47,8,29,99
"[0, 1]",93,9,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",107,15,29,99
"[0, 1]",53,5,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",2286,30,29,99
"[0, 1]",70,11,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",175,19,29,99
"[0, 1]",273,27,29,99
"[1, 0]",6,0,29,99
"[0.5, 0.5]",206,29,29,99
"[0, 1]",59,5,29,99
"[1, 0]",6,0,29,99
