currentweight,result,stays,validationproblem,inteval
"[1, 0]",7,3,29,19
"[0.5, 0.5]",13,2,29,19
"[0, 1]",64,15,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",72,5,29,19
"[0, 1]",26,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",30,2,29,19
"[0, 1]",194,28,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",30,4,29,19
"[0, 1]",25,5,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",201,19,29,19
"[0, 1]",39,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",21,4,29,19
"[0, 1]",66,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",21,5,29,19
"[0, 1]",32,3,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",204,21,29,19
"[0, 1]",43,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",25,4,29,19
"[0, 1]",35,4,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",41,8,29,19
"[0, 1]",39,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",35,2,29,19
"[0, 1]",97,20,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",45,3,29,19
"[0, 1]",63,10,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",37,6,29,19
"[0, 1]",72,5,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",12,3,29,19
"[0, 1]",58,7,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",45,6,29,19
"[0, 1]",94,9,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",74,7,29,19
"[0, 1]",27,5,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",20,0,29,19
"[0, 1]",11,0,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",18,2,29,19
"[0, 1]",69,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",11,2,29,19
"[0, 1]",20,2,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",65,5,29,19
"[0, 1]",10,0,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",24,3,29,19
"[0, 1]",50,5,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",108,13,29,19
"[0, 1]",31,5,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",9,2,29,19
"[0, 1]",46,9,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",17,3,29,19
"[0, 1]",18,2,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",105,12,29,19
"[0, 1]",48,7,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",108,11,29,19
"[0, 1]",144,19,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",70,14,29,19
"[0, 1]",16,5,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",22,3,29,19
"[0, 1]",15,2,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",20,2,29,19
"[0, 1]",193,17,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",30,1,29,19
"[0, 1]",39,8,29,19
"[1, 0]",8,3,29,39
"[0.5, 0.5]",31,5,29,39
"[0, 1]",2223,3,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",98,13,29,39
"[0, 1]",44,6,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",47,6,29,39
"[0, 1]",27,4,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",110,9,29,39
"[0, 1]",22,3,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",24,6,29,39
"[0, 1]",2223,1,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",206,26,29,39
"[0, 1]",9,2,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",84,7,29,39
"[0, 1]",40,10,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",33,3,29,39
"[0, 1]",17,1,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",38,5,29,39
"[0, 1]",9,0,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",10,2,29,39
"[0, 1]",21,1,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",18,3,29,39
"[0, 1]",81,7,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",27,6,29,39
"[0, 1]",2223,5,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",42,5,29,39
"[0, 1]",11,1,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",43,4,29,39
"[0, 1]",19,3,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",36,4,29,39
"[0, 1]",38,3,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",73,6,29,39
"[0, 1]",2223,4,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",14,3,29,39
"[0, 1]",13,2,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",2223,1,29,39
"[0, 1]",28,2,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",20,3,29,39
"[0, 1]",18,3,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",2223,6,29,39
"[0, 1]",47,8,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",15,2,29,39
"[0, 1]",44,4,29,39
"[1, 0]",8,3,29,39
"[0.5, 0.5]",20,2,29,39
"[0, 1]",47,6,29,39
"[1, 0]",8,3,29,39
