currentweight,result,stays,validationproblem,inteval
"[1, 0]",7,2,29,19
"[0.5, 0.5]",56,10,29,19
"[0, 1]",11,1,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",205,20,29,19
"[0, 1]",50,8,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",16,2,29,19
"[0, 1]",57,7,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",45,5,29,19
"[0, 1]",89,9,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",31,3,29,19
"[0, 1]",56,8,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",52,8,29,19
"[0, 1]",74,13,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",26,5,29,19
"[0, 1]",74,11,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",32,4,29,19
"[0, 1]",54,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",9,0,29,19
"[0, 1]",37,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",25,4,29,19
"[0, 1]",28,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",43,5,29,19
"[0, 1]",37,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",29,6,29,19
"[0, 1]",103,10,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",23,4,29,19
"[0, 1]",11,1,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",10,2,29,19
"[0, 1]",52,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",48,1,29,19
"[0, 1]",9,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",141,17,29,19
"[0, 1]",32,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",18,3,29,19
"[0, 1]",31,4,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",29,3,29,19
"[0, 1]",30,4,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",15,1,29,19
"[0, 1]",17,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",33,4,29,19
"[0, 1]",28,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",123,17,29,19
"[0, 1]",190,22,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",21,3,29,19
"[0, 1]",34,4,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",78,8,29,19
"[0, 1]",35,6,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",23,3,29,19
"[0, 1]",116,20,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",25,3,29,19
"[0, 1]",13,4,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",118,12,29,19
"[0, 1]",12,1,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",98,10,29,19
"[0, 1]",97,9,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",62,8,29,19
"[0, 1]",26,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",39,3,29,19
"[0, 1]",58,8,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",23,4,29,19
"[0, 1]",13,4,29,19
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",74,11,29,39
"[0, 1]",233,30,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",26,3,29,39
"[0, 1]",17,4,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",19,4,29,39
"[0, 1]",74,10,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",20,1,29,39
"[0, 1]",90,9,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",54,3,29,39
"[0, 1]",43,7,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",34,4,29,39
"[0, 1]",60,6,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",120,12,29,39
"[0, 1]",27,4,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",55,10,29,39
"[0, 1]",109,12,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",20,2,29,39
"[0, 1]",31,1,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",80,8,29,39
"[0, 1]",11,2,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",86,9,29,39
"[0, 1]",38,3,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",50,7,29,39
"[0, 1]",34,5,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",10,2,29,39
"[0, 1]",40,3,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",30,4,29,39
"[0, 1]",15,2,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",24,2,29,39
"[0, 1]",25,2,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",71,14,29,39
"[0, 1]",27,5,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",71,6,29,39
"[0, 1]",41,5,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",44,4,29,39
"[0, 1]",75,8,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",66,7,29,39
"[0, 1]",114,11,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",16,3,29,39
"[0, 1]",32,4,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",28,5,29,39
"[0, 1]",58,9,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",29,5,29,39
"[0, 1]",7,2,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",18,4,29,39
"[0, 1]",79,9,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",58,5,29,39
"[0, 1]",9,1,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",34,4,29,39
"[0, 1]",32,3,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",10,1,29,39
"[0, 1]",24,5,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",94,8,29,39
"[0, 1]",35,6,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",102,10,29,39
"[0, 1]",20,4,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",20,2,29,39
"[0, 1]",13,2,29,39
"[1, 0]",2223,742,29,39
"[0.5, 0.5]",58,5,29,39
"[0, 1]",23,5,29,39
"[1, 0]",8,2,29,59
"[0.5, 0.5]",161,14,29,59
"[0, 1]",393,44,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",401,42,29,59
"[0, 1]",39,3,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",112,17,29,59
"[0, 1]",23,4,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",70,10,29,59
"[0, 1]",232,22,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",102,12,29,59
"[0, 1]",19,1,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",18,3,29,59
"[0, 1]",213,21,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",62,9,29,59
"[0, 1]",441,58,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",32,5,29,59
"[0, 1]",301,32,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",197,20,29,59
"[0, 1]",117,19,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",71,6,29,59
"[0, 1]",95,11,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",49,2,29,59
"[0, 1]",174,29,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",84,9,29,59
"[0, 1]",149,15,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",274,33,29,59
"[0, 1]",67,7,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",62,9,29,59
"[0, 1]",321,39,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",120,11,29,59
"[0, 1]",52,5,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",11,2,29,59
"[0, 1]",89,11,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",43,4,29,59
"[0, 1]",37,4,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",41,6,29,59
"[0, 1]",42,9,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",51,5,29,59
"[0, 1]",66,9,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",171,14,29,59
"[0, 1]",138,17,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",165,18,29,59
"[0, 1]",23,1,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",108,8,29,59
"[0, 1]",36,7,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",174,16,29,59
"[0, 1]",209,23,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",91,11,29,59
"[0, 1]",45,4,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",23,7,29,59
"[0, 1]",149,21,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",63,7,29,59
"[0, 1]",47,8,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",25,4,29,59
"[0, 1]",21,2,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",502,47,29,59
"[0, 1]",201,21,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",99,12,29,59
"[0, 1]",21,2,29,59
"[1, 0]",8,2,29,59
"[0.5, 0.5]",47,2,29,59
"[0, 1]",20,3,29,59
"[1, 0]",8,2,29,79
"[0.5, 0.5]",144,14,29,79
"[0, 1]",81,10,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",269,21,29,79
"[0, 1]",98,10,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",51,2,29,79
"[0, 1]",180,19,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",76,11,29,79
"[0, 1]",130,16,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",159,19,29,79
"[0, 1]",135,13,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",170,15,29,79
"[0, 1]",153,18,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",74,8,29,79
"[0, 1]",27,3,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",256,25,29,79
"[0, 1]",175,22,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",27,4,29,79
"[0, 1]",565,55,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",198,23,29,79
"[0, 1]",665,68,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",19,2,29,79
"[0, 1]",98,7,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",462,48,29,79
"[0, 1]",82,12,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",297,37,29,79
"[0, 1]",39,5,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",22,3,29,79
"[0, 1]",70,7,29,79
"[1, 0]",8,2,29,79
"[0.5, 0.5]",32,7,29,79
"[0, 1]",79,13,29,79
"[1, 0]",8,2,29,79
