currentweight,result,stays,validationproblem,inteval
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",9,1,29,19
"[0, 1]",31,6,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",65,8,29,19
"[0, 1]",32,4,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",65,10,29,19
"[0, 1]",28,4,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",63,4,29,19
"[0, 1]",23,5,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",25,1,29,19
"[0, 1]",18,1,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",80,7,29,19
"[0, 1]",88,9,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",12,2,29,19
"[0, 1]",102,11,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",34,2,29,19
"[0, 1]",126,10,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",48,6,29,19
"[0, 1]",31,9,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",28,5,29,19
"[0, 1]",108,14,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",20,3,29,19
"[0, 1]",42,8,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",37,10,29,19
"[0, 1]",23,3,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",22,3,29,19
"[0, 1]",43,4,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",177,25,29,19
"[0, 1]",15,3,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",67,10,29,19
"[0, 1]",44,9,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",9,2,29,19
"[0, 1]",46,10,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",35,5,29,19
"[0, 1]",64,3,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",15,2,29,19
"[0, 1]",11,2,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",96,12,29,19
"[0, 1]",40,7,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",28,4,29,19
"[0, 1]",36,6,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",17,3,29,19
"[0, 1]",19,3,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",38,3,29,19
"[0, 1]",23,2,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",145,21,29,19
"[0, 1]",40,7,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",14,2,29,19
"[0, 1]",19,2,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",33,1,29,19
"[0, 1]",19,3,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",11,1,29,19
"[0, 1]",12,3,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",24,2,29,19
"[0, 1]",24,5,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",20,1,29,19
"[0, 1]",51,5,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",15,1,29,19
"[0, 1]",14,1,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",49,5,29,19
"[0, 1]",39,8,29,19
"[1, 0]",6,2,29,39
"[0.5, 0.5]",29,6,29,39
"[0, 1]",51,9,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",15,1,29,39
"[0, 1]",61,3,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",25,4,29,39
"[0, 1]",26,3,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",48,4,29,39
"[0, 1]",30,3,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",31,1,29,39
"[0, 1]",57,8,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",25,4,29,39
"[0, 1]",34,6,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",22,3,29,39
"[0, 1]",19,3,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",21,0,29,39
"[0, 1]",56,7,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",21,2,29,39
"[0, 1]",16,0,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",22,3,29,39
"[0, 1]",65,7,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",36,5,29,39
"[0, 1]",101,10,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",17,2,29,39
"[0, 1]",41,3,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",19,4,29,39
"[0, 1]",34,5,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",43,5,29,39
"[0, 1]",106,10,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",248,29,29,39
"[0, 1]",19,1,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",31,2,29,39
"[0, 1]",23,2,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",18,1,29,39
"[0, 1]",40,6,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",12,2,29,39
"[0, 1]",62,7,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",18,2,29,39
"[0, 1]",17,1,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",23,4,29,39
"[0, 1]",60,6,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",12,3,29,39
"[0, 1]",14,1,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",9,1,29,39
"[0, 1]",83,5,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",80,8,29,39
"[0, 1]",22,2,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",31,5,29,39
"[0, 1]",27,3,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",13,2,29,39
"[0, 1]",70,11,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",27,4,29,39
"[0, 1]",52,4,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",14,4,29,39
"[0, 1]",36,1,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",8,3,29,39
"[0, 1]",43,7,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",163,22,29,39
"[0, 1]",47,5,29,39
"[1, 0]",6,2,29,39
"[0.5, 0.5]",143,12,29,39
"[0, 1]",10,4,29,39
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",88,10,29,59
"[0, 1]",48,3,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",105,14,29,59
"[0, 1]",330,33,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",266,36,29,59
"[0, 1]",150,17,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",335,45,29,59
"[0, 1]",15,4,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",170,18,29,59
"[0, 1]",134,17,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",58,6,29,59
"[0, 1]",116,14,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",176,24,29,59
"[0, 1]",140,11,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",385,37,29,59
"[0, 1]",35,2,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",131,13,29,59
"[0, 1]",77,11,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",153,18,29,59
"[0, 1]",228,25,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",28,3,29,59
"[0, 1]",159,15,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",57,1,29,59
"[0, 1]",129,14,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",415,49,29,59
"[0, 1]",145,14,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",127,13,29,59
"[0, 1]",183,18,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",290,32,29,59
"[0, 1]",149,12,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",49,8,29,59
"[0, 1]",30,2,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",67,9,29,59
"[0, 1]",37,5,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",103,13,29,59
"[0, 1]",68,8,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",275,34,29,59
"[0, 1]",177,20,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",304,33,29,59
"[0, 1]",93,12,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",69,7,29,59
"[0, 1]",128,10,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",180,22,29,59
"[0, 1]",106,11,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",416,50,29,59
"[0, 1]",30,4,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",129,14,29,59
"[0, 1]",14,2,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",219,18,29,59
"[0, 1]",97,10,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",134,15,29,59
"[0, 1]",32,5,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",145,16,29,59
"[0, 1]",70,7,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",43,6,29,59
"[0, 1]",106,17,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",278,36,29,59
"[0, 1]",287,34,29,59
"[1, 0]",2223,556,29,59
"[0.5, 0.5]",40,8,29,59
"[0, 1]",44,6,29,59
"[1, 0]",6,2,29,79
"[0.5, 0.5]",179,15,29,79
"[0, 1]",404,58,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",155,27,29,79
"[0, 1]",45,7,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",12,4,29,79
"[0, 1]",86,13,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",14,4,29,79
"[0, 1]",209,23,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",57,5,29,79
"[0, 1]",45,7,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",15,1,29,79
"[0, 1]",146,16,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",176,26,29,79
"[0, 1]",277,23,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",92,11,29,79
"[0, 1]",122,15,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",311,35,29,79
"[0, 1]",206,16,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",197,27,29,79
"[0, 1]",377,41,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",29,3,29,79
"[0, 1]",67,8,29,79
"[1, 0]",6,2,29,79
"[0.5, 0.5]",212,30,29,79
"[0, 1]",272,33,29,79
