currentweight,result,stays,validationproblem,inteval
"[1, 0]",7,3,29,19
"[0.5, 0.5]",14,3,29,19
"[0, 1]",12,2,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",49,5,29,19
"[0, 1]",23,5,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",12,3,29,19
"[0, 1]",94,8,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",143,17,29,19
"[0, 1]",38,5,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",57,8,29,19
"[0, 1]",15,2,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",58,4,29,19
"[0, 1]",38,4,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",107,9,29,19
"[0, 1]",36,4,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",47,5,29,19
"[0, 1]",19,3,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",24,3,29,19
"[0, 1]",35,5,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",47,3,29,19
"[0, 1]",49,7,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",10,3,29,19
"[0, 1]",71,7,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",24,2,29,19
"[0, 1]",90,12,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",29,4,29,19
"[0, 1]",25,4,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",79,11,29,19
"[0, 1]",45,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",63,8,29,19
"[0, 1]",29,4,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",48,4,29,19
"[0, 1]",283,33,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",7,3,29,19
"[0, 1]",32,1,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",14,1,29,19
"[0, 1]",34,3,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",21,3,29,19
"[0, 1]",59,10,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",29,1,29,19
"[0, 1]",45,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",25,3,29,19
"[0, 1]",37,3,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",43,6,29,19
"[0, 1]",52,7,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",72,5,29,19
"[0, 1]",37,1,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",36,4,29,19
"[0, 1]",52,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",42,7,29,19
"[0, 1]",12,1,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",91,12,29,19
"[0, 1]",20,3,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",34,5,29,19
"[0, 1]",64,6,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",13,0,29,19
"[0, 1]",107,20,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",58,7,29,19
"[0, 1]",65,3,29,19
"[1, 0]",7,3,29,19
"[0.5, 0.5]",21,4,29,19
"[0, 1]",96,9,29,19
"[1, 0]",7,3,29,39
"[0.5, 0.5]",36,5,29,39
"[0, 1]",24,3,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",35,6,29,39
"[0, 1]",12,1,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",13,3,29,39
"[0, 1]",10,1,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",27,2,29,39
"[0, 1]",12,2,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",59,7,29,39
"[0, 1]",27,2,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",15,0,29,39
"[0, 1]",17,2,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",44,10,29,39
"[0, 1]",21,5,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",31,3,29,39
"[0, 1]",19,4,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",14,5,29,39
"[0, 1]",99,12,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",64,4,29,39
"[0, 1]",44,3,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",42,1,29,39
"[0, 1]",58,5,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",28,5,29,39
"[0, 1]",103,9,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",82,12,29,39
"[0, 1]",67,5,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",19,2,29,39
"[0, 1]",9,2,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",20,2,29,39
"[0, 1]",74,9,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",25,4,29,39
"[0, 1]",8,2,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",30,7,29,39
"[0, 1]",21,2,29,39
"[1, 0]",7,3,29,39
"[0.5, 0.5]",10,2,29,39
"[0, 1]",104,10,29,39
