currentweight,result,stays,validationproblem,inteval
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",23,3,29,19
"[0, 1]",72,5,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",45,5,29,19
"[0, 1]",24,2,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",33,8,29,19
"[0, 1]",45,9,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",13,1,29,19
"[0, 1]",58,7,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",16,2,29,19
"[0, 1]",34,2,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",62,10,29,19
"[0, 1]",40,5,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",15,1,29,19
"[0, 1]",45,6,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",38,5,29,19
"[0, 1]",39,4,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",14,3,29,19
"[0, 1]",18,2,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",92,9,29,19
"[0, 1]",12,3,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",2223,14,29,19
"[0, 1]",14,2,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",26,5,29,19
"[0, 1]",2223,2,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",97,8,29,19
"[0, 1]",2223,9,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",22,5,29,19
"[0, 1]",41,6,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",19,4,29,19
"[0, 1]",188,20,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",10,4,29,19
"[0, 1]",100,17,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",28,5,29,19
"[0, 1]",120,17,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",73,7,29,19
"[0, 1]",18,2,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",27,3,29,19
"[0, 1]",17,1,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",64,7,29,19
"[0, 1]",39,4,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",41,2,29,19
"[0, 1]",2223,9,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",66,10,29,19
"[0, 1]",15,2,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",66,4,29,19
"[0, 1]",13,2,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",133,15,29,19
"[0, 1]",12,2,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",33,4,29,19
"[0, 1]",44,4,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",13,3,29,19
"[0, 1]",16,2,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",30,3,29,19
"[0, 1]",14,3,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",80,8,29,19
"[0, 1]",15,3,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",15,2,29,19
"[0, 1]",26,5,29,19
"[1, 0]",2223,1,29,19
"[0.5, 0.5]",21,2,29,19
"[0, 1]",14,2,29,19
"[1, 0]",6,1,29,39
"[0.5, 0.5]",183,19,29,39
"[0, 1]",2223,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",64,12,29,39
"[0, 1]",28,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",2223,12,29,39
"[0, 1]",26,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",44,8,29,39
"[0, 1]",2223,1,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",66,13,29,39
"[0, 1]",43,5,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",65,8,29,39
"[0, 1]",17,4,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",21,2,29,39
"[0, 1]",54,7,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",94,7,29,39
"[0, 1]",2223,4,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",60,5,29,39
"[0, 1]",21,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",2223,7,29,39
"[0, 1]",12,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",31,6,29,39
"[0, 1]",21,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",21,2,29,39
"[0, 1]",131,17,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",15,3,29,39
"[0, 1]",33,4,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",22,3,29,39
"[0, 1]",2223,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",16,2,29,39
"[0, 1]",2223,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",58,7,29,39
"[0, 1]",9,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",2223,6,29,39
"[0, 1]",81,10,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",9,2,29,39
"[0, 1]",9,0,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",32,4,29,39
"[0, 1]",53,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",91,10,29,39
"[0, 1]",40,6,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",20,2,29,39
"[0, 1]",2223,11,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",23,4,29,39
"[0, 1]",2223,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",63,6,29,39
"[0, 1]",54,6,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",2223,3,29,39
"[0, 1]",85,5,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",14,2,29,39
"[0, 1]",19,3,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",11,2,29,39
"[0, 1]",63,7,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",32,8,29,39
"[0, 1]",45,7,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",2223,6,29,39
"[0, 1]",20,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",31,5,29,39
"[0, 1]",18,2,29,39
"[1, 0]",6,1,29,39
"[0.5, 0.5]",145,22,29,39
"[0, 1]",2223,5,29,39
"[1, 0]",6,1,29,59
"[0.5, 0.5]",80,9,29,59
"[0, 1]",25,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",28,3,29,59
"[0, 1]",2223,1,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",40,6,29,59
"[0, 1]",39,4,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",136,14,29,59
"[0, 1]",14,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",90,11,29,59
"[0, 1]",2223,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",67,10,29,59
"[0, 1]",32,6,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",67,8,29,59
"[0, 1]",42,5,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",44,6,29,59
"[0, 1]",15,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",9,4,29,59
"[0, 1]",39,4,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",38,1,29,59
"[0, 1]",64,5,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",22,3,29,59
"[0, 1]",76,8,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",65,9,29,59
"[0, 1]",48,6,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",15,4,29,59
"[0, 1]",26,4,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",2223,40,29,59
"[0, 1]",32,1,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",60,9,29,59
"[0, 1]",64,6,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",51,8,29,59
"[0, 1]",27,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",33,1,29,59
"[0, 1]",31,3,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",34,4,29,59
"[0, 1]",13,1,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",13,1,29,59
"[0, 1]",51,6,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",42,4,29,59
"[0, 1]",172,20,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",28,6,29,59
"[0, 1]",49,6,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",12,2,29,59
"[0, 1]",40,6,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",32,4,29,59
"[0, 1]",61,10,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",15,0,29,59
"[0, 1]",79,8,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",44,5,29,59
"[0, 1]",10,2,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",92,8,29,59
"[0, 1]",29,6,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",25,3,29,59
"[0, 1]",53,10,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",2223,5,29,59
"[0, 1]",10,2,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",16,2,29,59
"[0, 1]",48,6,29,59
"[1, 0]",6,1,29,59
"[0.5, 0.5]",2223,4,29,59
"[0, 1]",10,0,29,59
"[1, 0]",6,1,29,79
"[0.5, 0.5]",25,6,29,79
"[0, 1]",25,2,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",158,15,29,79
"[0, 1]",64,11,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",20,3,29,79
"[0, 1]",72,8,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",2223,6,29,79
"[0, 1]",12,1,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",75,8,29,79
"[0, 1]",9,2,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",38,6,29,79
"[0, 1]",2223,9,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",41,4,29,79
"[0, 1]",53,5,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",42,5,29,79
"[0, 1]",2223,8,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",19,3,29,79
"[0, 1]",40,5,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",2223,4,29,79
"[0, 1]",36,3,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",52,6,29,79
"[0, 1]",2223,13,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",14,4,29,79
"[0, 1]",22,4,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",64,7,29,79
"[0, 1]",170,17,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",42,8,29,79
"[0, 1]",26,3,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",2223,2,29,79
"[0, 1]",19,2,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",26,3,29,79
"[0, 1]",46,4,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",39,3,29,79
"[0, 1]",2223,3,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",76,10,29,79
"[0, 1]",31,1,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",54,5,29,79
"[0, 1]",9,4,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",22,2,29,79
"[0, 1]",56,9,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",2223,10,29,79
"[0, 1]",53,4,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",29,5,29,79
"[0, 1]",2223,6,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",127,14,29,79
"[0, 1]",22,2,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",67,8,29,79
"[0, 1]",54,6,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",70,9,29,79
"[0, 1]",2223,4,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",10,2,29,79
"[0, 1]",11,2,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",31,0,29,79
"[0, 1]",25,6,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",18,2,29,79
"[0, 1]",2223,1,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",13,1,29,79
"[0, 1]",2223,1,29,79
"[1, 0]",6,1,29,79
"[0.5, 0.5]",142,11,29,79
"[0, 1]",35,6,29,79
"[1, 0]",6,1,29,99
"[0.5, 0.5]",37,5,29,99
"[0, 1]",35,5,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",41,3,29,99
"[0, 1]",20,2,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",57,6,29,99
"[0, 1]",2223,9,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",2223,18,29,99
"[0, 1]",68,7,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",20,1,29,99
"[0, 1]",25,2,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",20,2,29,99
"[0, 1]",112,12,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",28,4,29,99
"[0, 1]",2223,8,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",73,4,29,99
"[0, 1]",2223,8,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",36,5,29,99
"[0, 1]",89,11,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",73,7,29,99
"[0, 1]",105,13,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",2223,11,29,99
"[0, 1]",54,6,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",26,2,29,99
"[0, 1]",72,5,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",27,1,29,99
"[0, 1]",28,3,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",39,7,29,99
"[0, 1]",56,11,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",51,3,29,99
"[0, 1]",2223,7,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",15,2,29,99
"[0, 1]",15,3,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",2223,2,29,99
"[0, 1]",26,1,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",16,5,29,99
"[0, 1]",87,12,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",34,5,29,99
"[0, 1]",72,10,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",2223,5,29,99
"[0, 1]",64,6,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",41,5,29,99
"[0, 1]",38,8,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",2223,6,29,99
"[0, 1]",2223,6,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",17,3,29,99
"[0, 1]",19,2,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",85,8,29,99
"[0, 1]",51,3,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",21,5,29,99
"[0, 1]",27,4,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",2223,3,29,99
"[0, 1]",96,10,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",2223,9,29,99
"[0, 1]",21,3,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",67,6,29,99
"[0, 1]",28,4,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",53,3,29,99
"[0, 1]",2223,6,29,99
"[1, 0]",6,1,29,99
"[0.5, 0.5]",56,3,29,99
"[0, 1]",41,2,29,99
"[1, 0]",6,1,29,119
"[0.5, 0.5]",36,7,29,119
"[0, 1]",24,2,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",63,12,29,119
"[0, 1]",10,1,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",73,15,29,119
"[0, 1]",2223,19,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",9,3,29,119
"[0, 1]",67,7,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",2223,2,29,119
"[0, 1]",32,9,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",40,7,29,119
"[0, 1]",186,26,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",85,3,29,119
"[0, 1]",31,5,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",33,1,29,119
"[0, 1]",2223,7,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",85,7,29,119
"[0, 1]",25,3,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",58,10,29,119
"[0, 1]",34,4,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",2223,4,29,119
"[0, 1]",18,1,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",2223,6,29,119
"[0, 1]",30,2,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",2223,1,29,119
"[0, 1]",68,10,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",146,9,29,119
"[0, 1]",34,7,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",54,8,29,119
"[0, 1]",58,4,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",75,14,29,119
"[0, 1]",32,4,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",63,8,29,119
"[0, 1]",208,25,29,119
"[1, 0]",6,1,29,119
"[0.5, 0.5]",9,4,29,119
