currentweight,result,stays,validationproblem,inteval
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",2223,5,29,19
"[0, 1]",14,4,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",51,10,29,19
"[0, 1]",2223,5,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",21,3,29,19
"[0, 1]",27,6,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",17,3,29,19
"[0, 1]",2223,7,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",16,2,29,19
"[0, 1]",113,15,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",26,3,29,19
"[0, 1]",24,1,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",2223,3,29,19
"[0, 1]",16,2,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",9,2,29,19
"[0, 1]",125,21,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",73,9,29,19
"[0, 1]",90,9,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",2223,0,29,19
"[0, 1]",24,2,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",30,3,29,19
"[0, 1]",29,2,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",21,1,29,19
"[0, 1]",46,7,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",66,14,29,19
"[0, 1]",52,4,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",36,4,29,19
"[0, 1]",35,5,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",2223,9,29,19
"[0, 1]",77,6,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",8,1,29,19
"[0, 1]",39,4,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",23,6,29,19
"[0, 1]",17,3,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",97,10,29,19
"[0, 1]",23,7,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",37,5,29,19
"[0, 1]",35,5,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",53,9,29,19
"[0, 1]",62,6,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",39,5,29,19
"[0, 1]",27,5,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",13,1,29,19
"[0, 1]",46,4,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",18,5,29,19
"[0, 1]",62,4,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",31,3,29,19
"[0, 1]",2223,2,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",9,2,29,19
"[0, 1]",51,10,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",119,16,29,19
"[0, 1]",54,7,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",37,7,29,19
"[0, 1]",45,8,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",64,7,29,19
"[0, 1]",54,6,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",17,4,29,19
"[0, 1]",2223,3,29,19
"[1, 0]",2223,2,29,19
"[0.5, 0.5]",117,11,29,19
"[0, 1]",2223,2,29,19
"[1, 0]",7,2,29,39
"[0.5, 0.5]",86,9,29,39
"[0, 1]",13,0,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",53,8,29,39
"[0, 1]",67,11,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",14,3,29,39
"[0, 1]",102,9,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",37,3,29,39
"[0, 1]",76,12,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",21,2,29,39
"[0, 1]",40,6,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",49,5,29,39
"[0, 1]",40,3,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",21,3,29,39
"[0, 1]",37,4,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",90,10,29,39
"[0, 1]",22,2,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",48,5,29,39
"[0, 1]",32,1,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",20,4,29,39
"[0, 1]",50,5,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",34,1,29,39
"[0, 1]",147,19,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",40,6,29,39
"[0, 1]",27,6,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",88,11,29,39
"[0, 1]",20,2,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",28,4,29,39
"[0, 1]",11,2,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",24,5,29,39
"[0, 1]",29,4,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",77,8,29,39
"[0, 1]",18,3,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",67,8,29,39
"[0, 1]",75,8,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",20,0,29,39
