currentweight,result,stays,validationproblem,inteval
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,1,29,19
"[0, 1]",2223,0,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,2,29,19
"[0, 1]",2223,7,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,8,29,19
"[0, 1]",2223,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",26,2,29,19
"[0, 1]",2223,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,0,29,19
"[0, 1]",2223,4,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,2,29,19
"[0, 1]",2223,7,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",14,3,29,19
"[0, 1]",2223,2,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,2,29,19
"[0, 1]",2223,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,5,29,19
"[0, 1]",14,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,3,29,19
"[0, 1]",2223,2,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,1,29,19
"[0, 1]",2223,2,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,0,29,19
"[0, 1]",18,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,2,29,19
"[0, 1]",2223,1,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,0,29,19
"[0, 1]",2223,12,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,15,29,19
"[0, 1]",2223,4,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,0,29,19
"[0, 1]",2223,6,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,2,29,19
"[0, 1]",2223,0,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,4,29,19
"[0, 1]",2223,2,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",23,4,29,19
"[0, 1]",2223,0,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,3,29,19
"[0, 1]",2223,2,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,2,29,19
"[0, 1]",2223,1,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,4,29,19
"[0, 1]",2223,4,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",2223,1,29,19
"[0, 1]",2223,13,29,19
