currentweight,result,stays,validationproblem,inteval
"[1, 0]",7,2,29,19
"[0.5, 0.5]",229,26,29,19
"[0, 1]",128,18,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",95,7,29,19
"[0, 1]",297,40,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",30,5,29,19
"[0, 1]",185,21,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",82,6,29,19
"[0, 1]",166,14,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",401,39,29,19
"[0, 1]",106,17,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",163,18,29,19
"[0, 1]",47,4,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",9,2,29,19
"[0, 1]",23,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",76,7,29,19
"[0, 1]",157,22,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",209,26,29,19
"[0, 1]",103,10,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",50,6,29,19
"[0, 1]",114,14,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",77,14,29,19
"[0, 1]",40,4,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",215,22,29,19
"[0, 1]",319,35,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",236,32,29,19
"[0, 1]",86,10,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",108,12,29,19
"[0, 1]",93,10,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",114,10,29,19
"[0, 1]",36,4,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",204,24,29,19
"[0, 1]",28,4,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",41,11,29,19
"[0, 1]",207,26,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",414,58,29,19
"[0, 1]",118,12,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",72,7,29,19
"[0, 1]",101,8,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",119,15,29,19
"[0, 1]",9,1,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",378,36,29,19
"[0, 1]",203,19,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",140,12,29,19
"[0, 1]",25,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",103,13,29,19
"[0, 1]",38,4,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",51,7,29,19
"[0, 1]",61,8,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",247,37,29,19
"[0, 1]",264,23,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",40,4,29,19
"[0, 1]",44,2,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",296,43,29,19
"[0, 1]",136,11,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",158,16,29,19
"[0, 1]",76,7,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",427,43,29,19
"[0, 1]",163,8,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",226,24,29,19
"[0, 1]",195,26,29,19
"[1, 0]",7,2,29,39
"[0.5, 0.5]",104,12,29,39
"[0, 1]",73,4,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",577,59,29,39
"[0, 1]",56,2,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",52,8,29,39
"[0, 1]",164,22,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",2223,20,29,39
"[0, 1]",2223,14,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",2223,8,29,39
"[0, 1]",33,6,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",18,2,29,39
"[0, 1]",143,11,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",25,6,29,39
"[0, 1]",136,11,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",2223,20,29,39
"[0, 1]",84,6,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",30,6,29,39
"[0, 1]",115,11,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",79,5,29,39
"[0, 1]",2223,48,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",130,9,29,39
"[0, 1]",2223,9,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",64,10,29,39
"[0, 1]",228,28,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",2223,8,29,39
"[0, 1]",137,18,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",2223,8,29,39
"[0, 1]",35,4,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",134,13,29,39
"[0, 1]",444,49,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",30,5,29,39
"[0, 1]",201,23,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",87,10,29,39
"[0, 1]",2223,4,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",2223,2,29,39
"[0, 1]",48,7,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",2223,8,29,39
"[0, 1]",2223,3,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",665,79,29,39
"[0, 1]",73,9,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",110,11,29,39
"[0, 1]",584,62,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",59,4,29,39
"[0, 1]",116,14,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",2223,8,29,39
"[0, 1]",127,11,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",2223,10,29,39
"[0, 1]",65,5,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",64,9,29,39
"[0, 1]",41,4,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",191,22,29,39
"[0, 1]",22,3,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",52,6,29,39
"[0, 1]",53,6,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",110,12,29,39
"[0, 1]",60,5,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",2223,4,29,39
"[0, 1]",104,16,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",279,32,29,39
"[0, 1]",76,9,29,39
"[1, 0]",7,2,29,59
"[0.5, 0.5]",93,10,29,59
"[0, 1]",52,5,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",2223,1,29,59
"[0, 1]",64,4,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",93,8,29,59
"[0, 1]",2223,30,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",141,12,29,59
"[0, 1]",154,21,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",115,15,29,59
"[0, 1]",243,28,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",101,16,29,59
"[0, 1]",2223,7,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",66,5,29,59
"[0, 1]",30,3,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",27,5,29,59
"[0, 1]",195,28,29,59
"[1, 0]",7,2,29,59
"[0.5, 0.5]",127,11,29,59
"[0, 1]",248,36,29,59
"[1, 0]",7,2,29,59
