currentweight,result,stays,validationproblem,inteval
"[1, 0]",7,2,29,19
"[0.5, 0.5]",19,3,29,19
"[0, 1]",132,13,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",20,3,29,19
"[0, 1]",12,2,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",26,4,29,19
"[0, 1]",10,1,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",53,5,29,19
"[0, 1]",42,9,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",20,3,29,19
"[0, 1]",17,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",16,2,29,19
"[0, 1]",13,2,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",27,4,29,19
"[0, 1]",46,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",32,3,29,19
"[0, 1]",44,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",17,1,29,19
"[0, 1]",80,10,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",26,5,29,19
"[0, 1]",13,0,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",120,11,29,19
"[0, 1]",26,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",65,10,29,19
"[0, 1]",100,14,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",34,6,29,19
"[0, 1]",56,10,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",31,5,29,19
"[0, 1]",36,6,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",55,2,29,19
"[0, 1]",27,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",55,9,29,19
"[0, 1]",11,1,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",16,2,29,19
"[0, 1]",77,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",19,2,29,19
"[0, 1]",56,10,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",177,25,29,19
"[0, 1]",65,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",23,4,29,19
"[0, 1]",74,10,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",35,6,29,19
"[0, 1]",27,2,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",18,3,29,19
"[0, 1]",46,8,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",51,2,29,19
"[0, 1]",45,7,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",38,6,29,19
"[0, 1]",51,7,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",76,5,29,19
"[0, 1]",98,5,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",57,6,29,19
"[0, 1]",33,4,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",60,4,29,19
"[0, 1]",18,3,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",81,8,29,19
"[0, 1]",13,1,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",75,6,29,19
"[0, 1]",63,11,29,19
"[1, 0]",7,2,29,19
"[0.5, 0.5]",27,5,29,19
"[0, 1]",35,6,29,19
"[1, 0]",7,2,29,39
"[0.5, 0.5]",54,6,29,39
"[0, 1]",42,5,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",32,5,29,39
"[0, 1]",54,11,29,39
"[1, 0]",7,2,29,39
"[0.5, 0.5]",73,7,29,39
